store_id,fulfillment_rate,oos_rate,shrink_pct,labor_hours_4w,complaints_4w,ops_weeks_count,review_count,positive_review_pct,negative_review_pct,news_count,local_news_count,competitor_mention_count,negative_news_count,product_count,product_in_stock_pct,report_count,high_severity_report_count,reviews_present,news_present,reports_present,products_present,ops_weekly_present,structured_ops_present
USR-011,0.94575,0.066125,0.024825,1928.325,2,52,10,0.0,0.3,18,13,5,0,16,0.9375,10,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-012,0.9352499999999999,0.039325,0.018325,1514.075,7,52,16,0.0,0.0,19,17,1,1,15,0.9333333333333333,11,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-013,0.95475,0.08082500000000001,0.01535,1295.025,4,52,17,0.0,0.058823529411764705,15,13,0,2,12,1.0,12,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-014,0.9055,0.030325,0.0162,3472.35,4,52,16,0.0625,0.125,20,18,2,0,16,0.9375,11,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-015,0.94825,0.066575,0.022925,1887.325,5,52,14,0.2857142857142857,0.0,17,14,1,2,18,0.9444444444444444,6,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-016,0.93125,0.043,0.017575,1933.95,6,52,8,0.375,0.25,15,11,0,4,18,1.0,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-017,0.90275,0.051775,0.0222,928.075,5,52,10,0.0,0.0,18,15,3,0,18,1.0,10,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-018,0.94,0.0566,0.0246,1721.875,3,52,15,0.13333333333333333,0.2,16,13,0,3,19,0.8947368421052632,9,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-019,0.96275,0.04115,0.017925,1683.5,6,52,1,1.0,0.0,18,14,0,4,16,0.9375,10,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-020,0.9345,0.038849999999999996,0.018425,1098.225,13,52,10,0.0,0.0,23,20,2,1,16,1.0,8,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-021,0.90575,0.0729,0.021374999999999998,2923.35,2,52,21,0.14285714285714285,0.3333333333333333,18,16,1,1,19,0.8947368421052632,8,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-022,0.9475,0.0368,0.018175,1983.175,17,52,8,0.25,0.25,18,14,1,3,14,1.0,7,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-023,0.9390000000000001,0.05615,0.023125,1612.95,1,52,19,0.10526315789473684,0.10526315789473684,17,16,0,1,17,0.9411764705882353,9,5,1.0,1.0,1.0,1.0,1.0,1.0
USR-024,0.95075,0.027899999999999998,0.0158,2517.95,5,52,17,0.11764705882352941,0.0,18,18,0,0,20,1.0,9,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-025,0.92125,0.06367500000000001,0.023899999999999998,1217.3,5,52,8,0.0,0.125,10,9,0,1,16,1.0,10,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-026,0.93675,0.040025,0.01635,1525.875,15,52,8,0.25,0.25,18,17,1,0,17,1.0,8,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-027,0.94075,0.04435,0.018025,1109.35,15,52,16,0.0,0.125,18,15,0,3,16,0.9375,8,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-028,0.9225,0.05015,0.0331,1550.425,20,52,8,0.0,0.125,15,11,3,1,18,1.0,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-029,0.95,0.047575,0.026425,1441.35,12,52,10,0.0,0.0,15,14,0,1,20,0.9,7,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-030,0.9355,0.028650000000000002,0.015025,1610.05,7,52,10,0.0,0.1,16,16,0,0,13,1.0,9,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-031,0.93575,0.061649999999999996,0.02425,1767.65,2,52,16,0.0,0.1875,18,16,0,2,18,0.8888888888888888,10,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-032,0.94725,0.03805,0.016225,1478.925,10,52,16,0.0,0.0,19,19,0,0,16,0.9375,4,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-033,0.924,0.077875,0.0143,1604.8000000000002,2,52,15,0.0,0.06666666666666667,17,14,1,2,12,0.9166666666666666,7,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-034,0.9325,0.03075,0.016625,3475.75,5,52,16,0.0625,0.125,21,21,0,0,13,0.9230769230769231,11,4,1.0,1.0,1.0,1.0,1.0,1.0
USR-035,0.9355,0.07085,0.021124999999999998,1036.0749999999998,1,52,16,0.25,0.0,17,16,0,1,16,0.9375,10,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-036,0.9552499999999999,0.040925,0.0195,1308.875,11,52,10,0.3,0.2,17,15,1,1,16,1.0,10,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-037,0.95975,0.0615,0.024999999999999998,989.3499999999999,2,52,8,0.0,0.0,19,17,0,2,18,1.0,7,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-038,0.9235,0.061849999999999995,0.0267,1645.075,3,52,10,0.0,0.3,18,17,1,0,18,1.0,10,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-039,0.9445,0.04,0.0182,1022.875,14,52,3,0.3333333333333333,0.0,16,12,2,2,18,1.0,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-040,0.9585,0.0398,0.017974999999999998,1448.6,14,52,16,0.0,0.0,21,11,10,0,15,0.9333333333333333,10,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-041,0.94375,0.0727,0.022175,2411.725,5,52,16,0.0625,0.1875,17,14,2,1,17,1.0,9,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-042,0.95775,0.041775,0.019275,2062.725,13,52,16,0.125,0.125,18,13,1,4,14,0.9285714285714286,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-043,0.946,0.064375,0.023875,1403.3,6,52,13,0.15384615384615385,0.15384615384615385,14,13,1,0,18,1.0,12,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-044,0.92425,0.0302,0.01495,3468.4,6,52,16,0.125,0.0,18,16,2,0,23,0.9565217391304348,14,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-045,0.9452499999999999,0.062325,0.023775,1872.5,6,52,10,0.0,0.1,18,18,0,0,16,1.0,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-046,0.95375,0.0388,0.016625,1344.6999999999998,14,52,8,0.25,0.25,14,14,0,0,14,0.8571428571428571,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-047,0.9137500000000001,0.040575,0.019225,1427.425,10,52,16,0.0,0.125,18,16,1,1,15,0.9333333333333333,8,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-048,0.894,0.051199999999999996,0.0327,1276.95,13,52,10,0.0,0.1,18,18,0,0,18,0.9444444444444444,11,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-049,0.93,0.0516,0.029675,1786.7,5,52,11,0.0,0.0,18,17,1,0,17,0.9411764705882353,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-050,0.9359999999999999,0.030225000000000002,0.01735,1810.425,2,52,16,0.0,0.0625,20,17,2,1,12,0.9166666666666666,8,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-051,0.9255,0.054425,0.02475,1441.825,6,52,12,0.0,0.25,18,18,0,0,16,1.0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-052,0.93425,0.045125,0.01805,1786.85,10,52,16,0.0,0.0,17,16,0,1,17,0.9411764705882353,10,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-053,0.92875,0.08155,0.015375,1937.725,6,52,17,0.0,0.058823529411764705,20,17,1,2,16,0.9375,8,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-054,0.9390000000000001,0.03115,0.015924999999999998,3128.175,5,52,16,0.0625,0.125,20,18,1,1,20,1.0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-055,0.9470000000000001,0.07515,0.023525,1589.8,2,52,18,0.3333333333333333,0.1111111111111111,16,11,3,2,15,1.0,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-056,0.95025,0.041375,0.018375,1334.6750000000002,15,52,19,0.15789473684210525,0.10526315789473684,21,15,2,4,16,1.0,12,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-057,0.94175,0.060425,0.0246,1948.75,5,52,8,0.0,0.0,17,15,1,1,18,1.0,8,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-058,0.9299999999999999,0.064725,0.0228,1275.25,3,52,16,0.125,0.1875,18,17,1,0,16,0.9375,9,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-059,0.92675,0.041624999999999995,0.019275,1685.9,18,52,7,0.14285714285714285,0.0,21,16,1,4,10,1.0,6,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-060,0.9197500000000001,0.03975,0.0191,1090.025,9,52,16,0.0,0.0,18,15,3,0,16,1.0,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-061,0.933,0.068275,0.0218,2948.4,5,52,16,0.0625,0.1875,20,19,0,1,22,0.9090909090909091,13,5,1.0,1.0,1.0,1.0,1.0,1.0
USR-062,0.92975,0.036875,0.018475,1472.275,19,52,16,0.125,0.125,19,15,3,1,17,1.0,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-063,0.931,0.0581,0.02605,1116.15,4,52,17,0.11764705882352941,0.11764705882352941,17,12,5,0,19,0.9473684210526315,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-064,0.9267500000000001,0.025475,0.014675,2261.35,4,52,17,0.11764705882352941,0.0,20,17,2,1,19,1.0,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-065,0.938,0.067675,0.0273,1862.075,4,52,9,0.0,0.1111111111111111,17,14,0,3,17,0.9411764705882353,12,4,1.0,1.0,1.0,1.0,1.0,1.0
USR-066,0.93125,0.037474999999999994,0.019200000000000002,1231.775,12,52,14,0.14285714285714285,0.14285714285714285,20,15,4,1,17,1.0,9,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-067,0.94725,0.04035,0.016325,1719.0,10,52,16,0.0,0.125,21,18,0,3,15,0.9333333333333333,9,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-068,0.9299999999999999,0.0518,0.031025,1581.775,12,52,16,0.0,0.0625,15,12,0,3,18,0.9444444444444444,4,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-069,0.9655,0.0571,0.027275,984.55,17,52,14,0.0,0.0,18,16,2,0,17,0.9411764705882353,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-070,0.925,0.024975,0.015574999999999999,894.925,2,52,16,0.0,0.0625,19,17,1,1,14,0.9285714285714286,11,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-071,0.9390000000000001,0.0623,0.027200000000000002,982.125,2,52,9,0.0,0.3333333333333333,18,13,1,4,18,0.9444444444444444,5,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-072,0.93975,0.044275,0.017375,1785.5,10,52,16,0.0,0.0,17,16,0,1,13,1.0,10,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-073,0.92625,0.0832,0.015975,1432.95,1,52,16,0.0,0.0625,18,14,3,1,13,1.0,9,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-074,0.95275,0.029175,0.016425000000000002,2196.7,3,52,13,0.07692307692307693,0.15384615384615385,23,20,0,3,17,0.9411764705882353,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-075,0.952,0.08155,0.0236,1133.425,7,52,12,0.3333333333333333,0.0,17,16,0,1,16,0.6875,6,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-076,0.949,0.0412,0.01645,1444.225,7,52,9,0.3333333333333333,0.2222222222222222,18,18,0,0,18,1.0,12,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-077,0.922,0.058275,0.023975,1831.7,2,52,10,0.0,0.0,15,13,1,1,17,0.8823529411764706,10,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-078,0.93875,0.057675000000000004,0.025374999999999998,1462.575,4,52,8,0.0,0.375,18,17,1,0,16,0.9375,5,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-079,0.9279999999999999,0.0387,0.01725,1624.35,11,52,5,0.2,0.0,17,14,0,3,16,1.0,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-080,0.9465,0.04725,0.01885,1110.45,12,52,12,0.0,0.0,15,11,3,1,11,1.0,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-081,0.93025,0.0727,0.01865,3158.3,1,52,16,0.0625,0.1875,16,16,0,0,18,1.0,9,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-082,0.94125,0.03935,0.016649999999999998,1899.2,12,52,17,0.11764705882352941,0.11764705882352941,15,15,0,0,13,0.9230769230769231,9,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-083,0.94275,0.063025,0.023875,1360.4,2,52,17,0.11764705882352941,0.11764705882352941,19,15,2,2,17,0.9411764705882353,7,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-084,0.95075,0.0283,0.015050000000000001,2495.15,5,52,17,0.11764705882352941,0.0,17,14,3,0,19,0.8947368421052632,7,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-085,0.922,0.0625,0.024575,1894.6000000000001,2,52,9,0.0,0.1111111111111111,17,17,0,0,18,0.9444444444444444,10,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-086,0.954,0.038775000000000004,0.0168,1406.575,13,52,17,0.11764705882352941,0.11764705882352941,17,16,1,0,16,0.875,8,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-087,0.93825,0.040825,0.01735,1584.775,9,52,16,0.0,0.125,17,15,0,2,15,1.0,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-088,0.9420000000000001,0.0474,0.028925,1870.2,12,52,16,0.0,0.0625,17,15,0,2,16,0.9375,13,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-089,0.942,0.057775,0.028800000000000003,1352.65,15,52,10,0.0,0.0,20,17,0,3,17,0.8235294117647058,7,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-090,0.9319999999999999,0.0289,0.015025,1562.225,4,52,16,0.0,0.0625,13,12,1,0,14,1.0,14,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-091,0.92775,0.06392500000000001,0.023225,1530.025,3,52,12,0.0,0.25,15,12,1,2,16,1.0,10,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-092,0.92425,0.04325,0.01815,1309.05,9,52,16,0.0,0.0,16,15,1,0,17,1.0,10,4,1.0,1.0,1.0,1.0,1.0,1.0
USR-093,0.9455,0.08125,0.01405,1224.5,2,52,11,0.0,0.09090909090909091,17,13,4,0,16,0.6875,7,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-094,0.9235,0.0333,0.016975,2270.5,5,52,12,0.08333333333333333,0.16666666666666666,20,15,1,4,20,1.0,14,5,1.0,1.0,1.0,1.0,1.0,1.0
USR-095,0.94575,0.07805,0.0197,1039.725,3,52,8,0.5,0.0,17,15,2,0,12,1.0,8,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-096,0.9495,0.03495,0.018099999999999998,1914.175,13,52,8,0.375,0.25,18,17,1,0,14,1.0,6,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-097,0.95,0.059899999999999995,0.0246,2014.25,1,52,8,0.0,0.0,18,18,0,0,15,0.9333333333333333,8,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-098,0.9105000000000001,0.064975,0.026975,1497.15,2,52,8,0.0,0.375,14,13,0,1,18,0.9444444444444444,5,0,1.0,1.0,1.0,1.0,1.0,1.0
USR-099,0.9285,0.04535,0.016925000000000003,947.95,13,52,2,0.5,0.0,18,16,1,1,16,0.9375,11,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-100,0.9512499999999999,0.035699999999999996,0.0178,1496.175,8,52,16,0.0,0.0,19,14,5,0,17,1.0,10,3,1.0,1.0,1.0,1.0,1.0,1.0
