id,store_id,modality,source_id,retailer,content,embedding_model,embedding_dim
news_NEWS-00759,USR-044,news,NEWS-00759,Costco,"Store USR-044 | Boise, ID | Date: 2025-12-03 | Headline: Introducing, Costco: Retailer wants to meet its possible new neighbors in Eagle - Yahoo | Summary: Introducing, Costco: Retailer wants to meet its possible new neighbors in Eagle Yahoo | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00769,USR-044,news,NEWS-00769,Costco,"Store USR-044 | Boise, ID | Date: 2026-02-18 | Headline: An iconic Boise mall store faces its final days. What shoppers should know now - Idaho Statesman | Summary: An iconic Boise mall store faces its final days. What shoppers should know now Idaho Statesman | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00770,USR-044,news,NEWS-00770,Costco,"Store USR-044 | Boise, ID | Date: 2026-01-05 | Headline: These Stores Could Disappear From Idaho in 2026 - 107.9 LITE FM | Summary: These Stores Could Disappear From Idaho in 2026 107.9 LITE FM | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00776,USR-045,news,NEWS-00776,Albertsons,"Store USR-045 | Omaha, NE | Date: 2025-11-26 | Headline: Here's Where You Can Pick up Last-Minute Groceries on Thanksgiving Day - Good Housekeeping | Summary: Here's Where You Can Pick up Last-Minute Groceries on Thanksgiving Day Good Housekeeping | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00785,USR-045,news,NEWS-00785,Albertsons,"Store USR-045 | Omaha, NE | Date: 2026-01-09 | Headline: SpartanNash opens first small-format Supermercado Nuestra Familia - Grocery Dive | Summary: SpartanNash opens first small-format Supermercado Nuestra Familia Grocery Dive | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00795,USR-046,news,NEWS-00795,Publix,"Store USR-046 | Oklahoma City, OK | Date: 2026-02-28 | Headline: Study ranks nation's best, worst grocery stores. Do you agree? - The Oklahoman | Summary: Study ranks nation's best, worst grocery stores. Do you agree? The Oklahoman | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00805,USR-046,news,NEWS-00805,Publix,"Store USR-046 | Oklahoma City, OK | Date: 2026-03-26 | Headline: Two Homeland stores closing in Norman, one in Edmond - KOKH | Summary: Two Homeland stores closing in Norman, one in Edmond KOKH | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00808,USR-047,news,NEWS-00808,Whole Foods,"Store USR-047 | Minneapolis, MN | Date: 2026-04-19 | Headline: Target revamps grocery strategy as more customers opt for budget or premium chains - Star Tribune | Summary: Target revamps grocery strategy as more customers opt for budget or premium chains Star Tribune | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00814,USR-047,news,NEWS-00814,Whole Foods,"Store USR-047 | Minneapolis, MN | Date: 2026-05-12 | Headline: Minneapolis grocery store owner charged in $1 million food assistance fraud - 5 EYEWITNESS NEWS | Summary: Minneapolis grocery store owner charged in $1 million food assistance fraud 5 EYEWITNESS NEWS | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00827,USR-048,news,NEWS-00827,CVS,"Store USR-048 | Buffalo, NY | Date: 2025-06-06 | Headline: Independent pharmacists speak out against pharmacy benefit managers as Rite Aid stores close in WNY - WKBW | Summary: Independent pharmacists speak out against pharmacy benefit managers as Rite Aid stores close in WNY WKBW | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00837,USR-048,news,NEWS-00837,CVS,"Store USR-048 | Buffalo, NY | Date: 2025-11-25 | Headline: Iconic Buffalo area retailer George and Company closing up shop - WGRZ | Summary: Iconic Buffalo area retailer George and Company closing up shop WGRZ | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00856,USR-049,news,NEWS-00856,Walgreens,"Store USR-049 | Rochester, NY | Date: 2025-12-30 | Headline: 17 Rochester businesses that shut down in 2025. See list - Democrat and Chronicle | Summary: 17 Rochester businesses that shut down in 2025. See list Democrat and Chronicle | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00861,USR-050,news,NEWS-00861,Home Depot,"Store USR-050 | Spokane, WA | Date: 2026-01-15 | Headline: New grocery store envisioned on South Hill - Spokane Journal of Business | Summary: New grocery store envisioned on South Hill Spokane Journal of Business | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00867,USR-050,news,NEWS-00867,Home Depot,"Store USR-050 | Spokane, WA | Date: 2026-01-19 | Headline: City records show new grocery store planned for Spokane's South Hill - krem.com | Summary: City records show new grocery store planned for Spokane's South Hill krem.com | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00884,USR-051,news,NEWS-00884,Lowe's,"Store USR-051 | Tulsa, OK | Date: 2025-11-26 | Headline: Check out what's opened and closed in Oklahoma on Thanksgiving Day - KOCO | Summary: Check out what's opened and closed in Oklahoma on Thanksgiving Day KOCO | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00892,USR-051,news,NEWS-00892,Lowe's,"Store USR-051 | Tulsa, OK | Date: 2026-04-25 | Headline: Tuesday Morning closing all stores, sale signs up in Tulsa - fox23.com | Summary: Tuesday Morning closing all stores, sale signs up in Tulsa fox23.com | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00894,USR-051,news,NEWS-00894,Lowe's,"Store USR-051 | Tulsa, OK | Date: 2026-01-14 | Headline: GameStop closing hundreds of stores across US, Oklahoma in January 2026. See list. - The Oklahoman | Summary: GameStop closing hundreds of stores across US, Oklahoma in January 2026. See list. The Oklahoman | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00920,USR-053,news,NEWS-00920,Dollar General,"Store USR-053 | New York, NY | Date: 2025-11-24 | Headline: Here's what stores are open and closed on Thanksgiving Day 2025 - Business Insider | Summary: Here's what stores are open and closed on Thanksgiving Day 2025 Business Insider | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00924,USR-053,news,NEWS-00924,Dollar General,"Store USR-053 | New York, NY | Date: 2026-06-21 | Headline: Blake Lively grocery shops while former BFF Taylor Swift throws bachelorette party with closest pals - Page Six | Summary: Blake Lively grocery shops while former BFF Taylor Swift throws bachelorette party with closest pals Page Six | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00926,USR-053,news,NEWS-00926,Dollar General,"Store USR-053 | New York, NY | Date: 2026-06-14 | Headline: New York’s independent grocery stores face steep price disparities. A recent bill seeks to change that. - Columbia Daily Spectator | Summary: New York’s independent grocery stores face steep price disparities. A recent bill seeks to change that. Columbia Daily Spectator | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00947,USR-054,news,NEWS-00947,Sam's Club,"Store USR-054 | Los Angeles, CA | Date: 2026-06-22 | Headline: Bed Bath & Beyond begins reopening in California with a bonus: Old coupons will be honored - Los Angeles Times | Summary: Bed Bath & Beyond begins reopening in California with a bonus: Old coupons will be honored Los Angeles Times | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00951,USR-054,news,NEWS-00951,Sam's Club,"Store USR-054 | Los Angeles, CA | Date: 2026-01-27 | Headline: Amazon Fresh stores in California are set to close | Full List - ABC10 | Summary: Amazon Fresh stores in California are set to close | Full List ABC10 | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00952,USR-054,news,NEWS-00952,Sam's Club,"Store USR-054 | Los Angeles, CA | Date: 2026-04-14 | Headline: Macy’s to close 14 stores by end of year — including 2 California locations - New York Post | Summary: Macy’s to close 14 stores by end of year — including 2 California locations New York Post | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00964,USR-055,news,NEWS-00964,Aldi,"Store USR-055 | Chicago, IL | Date: 2026-05-12 | Headline: SNAP changes leave Chicago families and grocery stores reeling - WBEZ Chicago | Summary: SNAP changes leave Chicago families and grocery stores reeling WBEZ Chicago | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00970,USR-055,news,NEWS-00970,Aldi,"Store USR-055 | Chicago, IL | Date: 2026-03-31 | Headline: 10 Top Retail Companies in Chicago | Summary: Chicago is considered a primary retail and commercial hub of the U.S. Midwest, with a number of global and national retail companies establishing roots and recruiting talent in the city. This ... | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00985,USR-056,news,NEWS-00985,H-E-B,"Store USR-056 | Houston, TX | Date: 2026-01-25 | Headline: Houston grocery store hours: Winter storm updates for H-E-B, Kroger and Walmart - Click2Houston | Summary: Houston grocery store hours: Winter storm updates for H-E-B, Kroger and Walmart Click2Houston | Impact: negative",text-embedding-3-large,3072
news_NEWS-00005,USR-001,news,NEWS-00005,Walmart,"Store USR-001 | New York, NY | Date: 2026-04-16 | Headline: Walmart is remodeling 24 New York stores in 2026. Here’s what’s changing, and where - Syracuse.com | Summary: Walmart is remodeling 24 New York stores in 2026. Here’s what’s changing, and where Syracuse.com | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00008,USR-001,news,NEWS-00008,Walmart,"Store USR-001 | New York, NY | Date: 2026-06-23 | Headline: Montreal cop killed after rampaging incel gunman ambushed officers in heavily Jewish neighborhood - New York Post | Summary: Montreal cop killed after rampaging incel gunman ambushed officers in heavily Jewish neighborhood New York Post | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00017,USR-001,news,NEWS-00017,Walmart,"Store USR-001 | New York, NY | Date: 2026-05-24 | Headline: Here’s which retailers, grocery stores and pharmacies are open and closed on Memorial Day - New York Post | Summary: Here’s which retailers, grocery stores and pharmacies are open and closed on Memorial Day New York Post | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00023,USR-002,news,NEWS-00023,Target,"Store USR-002 | Los Angeles, CA | Date: 2026-05-06 | Headline: Target-Anchored Retail Center On Track To Open In Beaumont, California - Bisnow | Summary: Target-Anchored Retail Center On Track To Open In Beaumont, California Bisnow | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00026,USR-002,news,NEWS-00026,Target,"Store USR-002 | Los Angeles, CA | Date: 2026-02-12 | Headline: Faith Leaders Sing and Pray in Goleta Target Store to Urge a Stand over ICE - The Santa Barbara Independent | Summary: Faith Leaders Sing and Pray in Goleta Target Store to Urge a Stand over ICE The Santa Barbara Independent | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00043,USR-002,news,NEWS-00043,Target,"Store USR-002 | Los Angeles, CA | Date: 2024-02-01 | Headline: Gov. Newsom says Target worker blamed him for rampant retail theft in CA | Summary: SAN FRANCISCO -- A story shared by Governor Gavin Newsom is getting a lot of attention. He said he confronted a Target worker in the Sacramento area who didn't stop a thief from stealing. Newsom told ... | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00060,USR-004,news,NEWS-00060,Costco,"Store USR-004 | Houston, TX | Date: 2026-06-22 | Headline: Mother arrested after leaving 4-year-old alone in hot vehicle while shopping at Costco - Click2Houston | Summary: Mother arrested after leaving 4-year-old alone in hot vehicle while shopping at Costco Click2Houston | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00074,USR-004,news,NEWS-00074,Costco,"Store USR-004 | Houston, TX | Date: 2026-03-07 | Headline: One of Houston's biggest grocery chains is closing stores. Why? - Chron | Summary: One of Houston's biggest grocery chains is closing stores. Why? Chron | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00084,USR-005,news,NEWS-00084,Albertsons,"Store USR-005 | Phoenix, AZ | Date: 2026-06-09 | Headline: Trader Joe’s is coming to Arcadia. What to know - Phoenix New Times | Summary: Trader Joe’s is coming to Arcadia. What to know Phoenix New Times | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00095,USR-006,news,NEWS-00095,Publix,"Store USR-006 | Philadelphia, PA | Date: 2026-05-14 | Headline: These are the best places to work in Florida, report claims - WKMG | Summary: These are the best places to work in Florida, report claims WKMG | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00096,USR-006,news,NEWS-00096,Publix,"Store USR-006 | Philadelphia, PA | Date: 2025-08-31 | Headline: This is what's open and closed on Labor Day 2025 - NBC New York | Summary: This is what's open and closed on Labor Day 2025 NBC New York | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00105,USR-006,news,NEWS-00105,Publix,"Store USR-006 | Philadelphia, PA | Date: 2026-01-07 | Headline: Trump store in suburban Philadelphia 'kind of run its course' and is set to close - 6abc Philadelphia | Summary: Trump store in suburban Philadelphia 'kind of run its course' and is set to close 6abc Philadelphia | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00120,USR-007,news,NEWS-00120,Whole Foods,"Store USR-007 | San Antonio, TX | Date: 2026-02-26 | Headline: BLACK HISTORY MONTH | 3 stores, 1 family. A legacy still echoing on San Antonio's east side - kens5.com | Summary: BLACK HISTORY MONTH | 3 stores, 1 family. A legacy still echoing on San Antonio's east side kens5.com | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00121,USR-007,news,NEWS-00121,Whole Foods,"Store USR-007 | San Antonio, TX | Date: 2026-03-13 | Headline: Saks Fifth Avenue to lay off 71 workers, closes San Antonio store after bankruptcy - San Antonio Report | Summary: Saks Fifth Avenue to lay off 71 workers, closes San Antonio store after bankruptcy San Antonio Report | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00125,USR-007,news,NEWS-00125,Whole Foods,"Store USR-007 | San Antonio, TX | Date: 2026-01-24 | Headline: When is H-E-B open this weekend? Grocery chain adjusts hours for San Antonio-area stores amid winter storm - kens5.com | Summary: When is H-E-B open this weekend? Grocery chain adjusts hours for San Antonio-area stores amid winter storm kens5.com | Impact: negative",text-embedding-3-large,3072
news_NEWS-00126,USR-007,news,NEWS-00126,Whole Foods,"Store USR-007 | San Antonio, TX | Date: 2026-06-10 | Headline: Major pizza chain has closed at least 40 locations in 2026: See the list so far - MLive.com | Summary: Major pizza chain has closed at least 40 locations in 2026: See the list so far MLive.com | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00152,USR-009,news,NEWS-00152,Walgreens,"Store USR-009 | Dallas, TX | Date: 2026-06-12 | Headline: Southern Dallas loses a grocery store in Oak Cliff area with fewer options - Dallas News | Summary: Southern Dallas loses a grocery store in Oak Cliff area with fewer options Dallas News | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00177,USR-010,news,NEWS-00177,Home Depot,"Store USR-010 | Austin, TX | Date: 2026-05-22 | Headline: H-E-B to close Austin store in move that spotlights company’s evolution into real estate empire - The Real Deal | Summary: H-E-B to close Austin store in move that spotlights company’s evolution into real estate empire The Real Deal | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00178,USR-010,news,NEWS-00178,Home Depot,"Store USR-010 | Austin, TX | Date: 2026-05-21 | Headline: Northwest Austin shoppers will lose a longtime H-E-B this summer. See where - Austin American-Statesman | Summary: Northwest Austin shoppers will lose a longtime H-E-B this summer. See where Austin American-Statesman | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00187,USR-011,news,NEWS-00187,Lowe's,"Store USR-011 | Jacksonville, FL | Date: 2026-02-02 | Headline: Lowe's buys land for new store, regional headquarters - The Business Journals | Summary: Lowe's buys land for new store, regional headquarters The Business Journals | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00198,USR-011,news,NEWS-00198,Lowe's,"Store USR-011 | Jacksonville, FL | Date: 2026-05-29 | Headline: Books-A-Million at Orange Park Mall set to be replaced. What we know - The Florida Times-Union | Summary: Books-A-Million at Orange Park Mall set to be replaced. What we know The Florida Times-Union | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00204,USR-012,news,NEWS-00204,Best Buy,"Store USR-012 | Fort Worth, TX | Date: 2025-07-31 | Headline: IKEA will pop-up a mini-store inside one Best Buy in Hurst - CultureMap Fort Worth | Summary: IKEA will pop-up a mini-store inside one Best Buy in Hurst CultureMap Fort Worth | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00220,USR-013,news,NEWS-00220,Dollar General,"Store USR-013 | Columbus, OH | Date: 2026-01-23 | Headline: Dollar General offers same-day delivery to 17,000 locations - Akron Beacon Journal | Summary: Dollar General offers same-day delivery to 17,000 locations Akron Beacon Journal | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00227,USR-013,news,NEWS-00227,Dollar General,"Store USR-013 | Columbus, OH | Date: 2026-01-24 | Headline: Grocery stores see surge ahead of winter storm - Spectrum News | Summary: Grocery stores see surge ahead of winter storm Spectrum News | Impact: negative",text-embedding-3-large,3072
news_NEWS-00240,USR-014,news,NEWS-00240,Sam's Club,"Store USR-014 | Charlotte, NC | Date: 2026-06-04 | Headline: Lowes Foods adding two grocery stores to the Charlotte area - Queen City News | Summary: Lowes Foods adding two grocery stores to the Charlotte area Queen City News | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00244,USR-014,news,NEWS-00244,Sam's Club,"Store USR-014 | Charlotte, NC | Date: 2026-06-09 | Headline: Northwood Ravin readies retail redevelopment at aging South End complex - The Business Journals | Summary: Northwood Ravin readies retail redevelopment at aging South End complex The Business Journals | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00246,USR-014,news,NEWS-00246,Sam's Club,"Store USR-014 | Charlotte, NC | Date: 2026-04-04 | Headline: Stores open and closed on Easter Sunday - WCCB Charlotte | Summary: Stores open and closed on Easter Sunday WCCB Charlotte | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00253,USR-014,news,NEWS-00253,Sam's Club,"Store USR-014 | Charlotte, NC | Date: 2026-02-24 | Headline: Costco vs. Sam’s Club: Which Membership Is Worth It in 2026? | Summary: Attention, discount shoppers: A warehouse club membership can land you some of the lowest prices on everyday goods in exchange for an annual fee. Costco and Sam’s Club are the largest warehouse clubs ... | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00258,USR-015,news,NEWS-00258,Aldi,"Store USR-015 | Indianapolis, IN | Date: 2026-05-08 | Headline: I Shopped At ALDI For The First Time—Here’s What Surprised Me Most - Southern Living | Summary: I Shopped At ALDI For The First Time—Here’s What Surprised Me Most Southern Living | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00262,USR-015,news,NEWS-00262,Aldi,"Store USR-015 | Indianapolis, IN | Date: 2026-03-20 | Headline: Needler’s Fresh Market Expands Indiana Footprint - Store Brands | Summary: Needler’s Fresh Market Expands Indiana Footprint Store Brands | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00280,USR-016,news,NEWS-00280,H-E-B,"Store USR-016 | Seattle, WA | Date: 2025-12-04 | Headline: Hell Is a Grocery Store - thestranger.com | Summary: Hell Is a Grocery Store thestranger.com | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00282,USR-016,news,NEWS-00282,H-E-B,"Store USR-016 | Seattle, WA | Date: 2025-09-25 | Headline: North Seattle neighborhood braces for closure of main grocery store - KNKX | Summary: North Seattle neighborhood braces for closure of main grocery store KNKX | Impact: negative",text-embedding-3-large,3072
news_NEWS-00313,USR-018,news,NEWS-00313,Safeway,"Store USR-018 | Boston, MA | Date: 2026-05-28 | Headline: Fast-growing Sprouts grocery chain plans 30 to 40 stores across New England - The Business Journals | Summary: Fast-growing Sprouts grocery chain plans 30 to 40 stores across New England The Business Journals | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00317,USR-018,news,NEWS-00317,Safeway,"Store USR-018 | Boston, MA | Date: 2026-02-17 | Headline: Luxury Department Store Chain to Close Boston Store After 42 Years, Lay Off 73 - WhatNow | Summary: Luxury Department Store Chain to Close Boston Store After 42 Years, Lay Off 73 WhatNow | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00321,USR-019,news,NEWS-00321,Sprouts,"Store USR-019 | Nashville, TN | Date: 2025-12-29 | Headline: Sprouts slated for West Nashville - Nashville Post | Summary: Sprouts slated for West Nashville Nashville Post | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00334,USR-019,news,NEWS-00334,Sprouts,"Store USR-019 | Nashville, TN | Date: 2026-02-13 | Headline: IKEA to close Memphis store - Nashville Post | Summary: IKEA to close Memphis store Nashville Post | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00348,USR-020,news,NEWS-00348,Trader Joe's,"Store USR-020 | Detroit, MI | Date: 2026-02-18 | Headline: Green Grocer Program celebrates first ribbon cutting since 2024 relaunch, bringing walkable grocery access to Dexter-Linwood neighborhood - City of Detroit (.gov) | Summary: Green Grocer Program celebrates first ribbon cutting since 2024 relaunch, bringing walkable grocery access to Dexter-Linwood neighborhood City of Detroit (.gov) | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00354,USR-020,news,NEWS-00354,Trader Joe's,"Store USR-020 | Detroit, MI | Date: 2025-12-15 | Headline: Metro Detroit’s forgotten favorites: 20 stores we all miss - Detroit Free Press | Summary: Metro Detroit’s forgotten favorites: 20 stores we all miss Detroit Free Press | Impact: neutral",text-embedding-3-large,3072
