id,store_id,retailer,banner,store_name,city,state,store_format,fusion_method,store_dna_dim,store_dna_norm
store_dna_USR-001,USR-001,Walmart,Walmart,Walmart New York,New York,NY,Supercenter,weighted_late_fusion_concat,2048,1.0
store_dna_USR-006,USR-006,Publix,Publix,Publix Philadelphia,Philadelphia,PA,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-024,USR-024,Costco,Costco,Costco Baltimore,Baltimore,MD,Supercenter,weighted_late_fusion_concat,2048,1.0
store_dna_USR-025,USR-025,Albertsons,Albertsons,Albertsons Milwaukee,Milwaukee,WI,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-028,USR-028,CVS,CVS,CVS Fresno,Fresno,CA,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-045,USR-045,Albertsons,Albertsons,Albertsons Omaha,Omaha,NE,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-047,USR-047,Whole Foods,Whole Foods,Whole Foods Minneapolis,Minneapolis,MN,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-056,USR-056,H-E-B,H-E-B,H-E-B Houston,Houston,TX,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-065,USR-065,Albertsons,Albertsons,Albertsons Columbus,Columbus,OH,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-083,USR-083,Kroger,Kroger,Kroger Atlanta,Atlanta,GA,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-090,USR-090,Home Depot,Home Depot,Home Depot Cincinnati,Cincinnati,OH,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-017,USR-017,Meijer,Meijer,Meijer Denver,Denver,CO,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-027,USR-027,Whole Foods,Whole Foods,Whole Foods Tucson,Tucson,AZ,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-034,USR-034,Sam's Club,Sam's Club,Sam's Club Orlando,Orlando,FL,Supercenter,weighted_late_fusion_concat,2048,1.0
store_dna_USR-059,USR-059,Sprouts,Sprouts,Sprouts San Antonio,San Antonio,TX,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-061,USR-061,Walmart,Walmart,Walmart Dallas,Dallas,TX,Supercenter,weighted_late_fusion_concat,2048,1.0
store_dna_USR-085,USR-085,Albertsons,Albertsons,Albertsons Tampa,Tampa,FL,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-005,USR-005,Albertsons,Albertsons,Albertsons Phoenix,Phoenix,AZ,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-043,USR-043,Kroger,Kroger,Kroger Richmond,Richmond,VA,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-048,USR-048,CVS,CVS,CVS Buffalo,Buffalo,NY,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-069,USR-069,Walgreens,Walgreens,Walgreens Denver,Denver,CO,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-007,USR-007,Whole Foods,Whole Foods,Whole Foods San Antonio,San Antonio,TX,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-026,USR-026,Publix,Publix,Publix Albuquerque,Albuquerque,NM,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-036,USR-036,H-E-B,H-E-B,H-E-B Pittsburgh,Pittsburgh,PA,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-039,USR-039,Sprouts,Sprouts,Sprouts Raleigh,Raleigh,NC,Neighborhood,weighted_late_fusion_concat,2048,0.9999998807907104
store_dna_USR-049,USR-049,Walgreens,Walgreens,Walgreens Rochester,Rochester,NY,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-053,USR-053,Dollar General,Dollar General,Dollar General New York,New York,NY,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-097,USR-097,Meijer,Meijer,Meijer Omaha,Omaha,NE,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-098,USR-098,Safeway,Safeway,Safeway Oklahoma City,Oklahoma City,OK,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-032,USR-032,Best Buy,Best Buy,Best Buy Miami,Miami,FL,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-035,USR-035,Aldi,Aldi,Aldi Cleveland,Cleveland,OH,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-051,USR-051,Lowe's,Lowe's,Lowe's Tulsa,Tulsa,OK,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-068,USR-068,CVS,CVS,CVS Seattle,Seattle,WA,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-071,USR-071,Lowe's,Lowe's,Lowe's Nashville,Nashville,TN,Neighborhood,weighted_late_fusion_concat,2048,0.9999999403953552
store_dna_USR-077,USR-077,Meijer,Meijer,Meijer Milwaukee,Milwaukee,WI,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-086,USR-086,Publix,Publix,Publix Orlando,Orlando,FL,Neighborhood,weighted_late_fusion_concat,2048,1.0
store_dna_USR-100,USR-100,Trader Joe's,Trader Joe's,Trader Joe's Buffalo,Buffalo,NY,Neighborhood,weighted_late_fusion_concat,2048,1.0
