report_id,store_id,report_date,report_type,severity,issue_category,description,status,reported_by
RPT-USR-004-008,USR-004,2025-07-15,facilities,high,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,district_manager
RPT-USR-004-009,USR-004,2025-10-13,loss_prevention,medium,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,loss_prevention
RPT-USR-004-010,USR-004,2025-11-09,mystery_shop,high,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,loss_prevention
RPT-USR-004-011,USR-004,2025-12-27,inventory_audit,medium,shrink,Elevated shrink pattern detected near self-checkout area,open,loss_prevention
RPT-USR-004-012,USR-004,2025-08-02,mystery_shop,medium,safety,Blocked emergency exit path noted during walkthrough,in_progress,mystery_shopper
RPT-USR-005-001,USR-005,2026-04-10,facilities,low,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,district_manager
RPT-USR-005-002,USR-005,2025-11-25,facilities,medium,signage,Promotional signage expired or missing on endcap displays,resolved,mystery_shopper
RPT-USR-005-003,USR-005,2026-03-01,loss_prevention,high,safety,Blocked emergency exit path noted during walkthrough,in_progress,loss_prevention
RPT-USR-005-004,USR-005,2026-06-20,loss_prevention,low,equipment,Refrigeration unit temperature fluctuation logged in dairy section,open,district_manager
RPT-USR-005-005,USR-005,2025-09-14,loss_prevention,low,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,mystery_shopper
RPT-USR-005-006,USR-005,2025-09-18,safety_audit,low,shrink,Elevated shrink pattern detected near self-checkout area,resolved,loss_prevention
RPT-USR-005-007,USR-005,2026-02-19,loss_prevention,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,loss_prevention
RPT-USR-005-008,USR-005,2025-10-27,mystery_shop,high,shrink,Elevated shrink pattern detected near self-checkout area,open,loss_prevention
RPT-USR-005-009,USR-005,2025-11-20,mystery_shop,low,safety,Blocked emergency exit path noted during walkthrough,open,mystery_shopper
RPT-USR-005-010,USR-005,2026-06-07,mystery_shop,medium,safety,Blocked emergency exit path noted during walkthrough,in_progress,store_manager
RPT-USR-005-011,USR-005,2026-02-15,mystery_shop,low,staffing,Insufficient coverage during peak hours — checkout and service desk,open,district_manager
RPT-USR-005-012,USR-005,2025-08-14,loss_prevention,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,open,loss_prevention
RPT-USR-005-013,USR-005,2025-11-24,facilities,low,staffing,Insufficient coverage during peak hours — checkout and service desk,open,loss_prevention
RPT-USR-005-014,USR-005,2026-01-16,inventory_audit,high,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,mystery_shopper
RPT-USR-005-015,USR-005,2025-08-02,inventory_audit,low,staffing,Insufficient coverage during peak hours — checkout and service desk,in_progress,mystery_shopper
RPT-USR-006-001,USR-006,2026-03-10,mystery_shop,medium,equipment,Refrigeration unit temperature fluctuation logged in dairy section,in_progress,mystery_shopper
RPT-USR-006-002,USR-006,2026-02-04,mystery_shop,low,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,loss_prevention
RPT-USR-006-003,USR-006,2025-09-16,inventory_audit,high,equipment,Refrigeration unit temperature fluctuation logged in dairy section,open,loss_prevention
RPT-USR-006-004,USR-006,2026-02-07,district_visit,low,customer_service,Wait times exceed SLA at service desk during weekend peak,in_progress,store_manager
RPT-USR-006-005,USR-006,2025-12-09,inventory_audit,low,planogram,Shelf tags misaligned with planogram — facings not compliant,in_progress,store_manager
RPT-USR-006-006,USR-006,2026-04-21,safety_audit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,district_manager
RPT-USR-006-007,USR-006,2026-04-30,inventory_audit,high,equipment,Refrigeration unit temperature fluctuation logged in dairy section,in_progress,store_manager
RPT-USR-006-008,USR-006,2025-08-08,loss_prevention,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,open,mystery_shopper
RPT-USR-006-009,USR-006,2026-01-25,facilities,high,planogram,Shelf tags misaligned with planogram — facings not compliant,open,store_manager
RPT-USR-006-010,USR-006,2025-10-09,inventory_audit,low,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,loss_prevention
RPT-USR-006-011,USR-006,2025-07-19,facilities,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,mystery_shopper
RPT-USR-006-012,USR-006,2025-10-06,mystery_shop,low,planogram,Shelf tags misaligned with planogram — facings not compliant,resolved,mystery_shopper
RPT-USR-007-001,USR-007,2026-03-15,safety_audit,high,customer_service,Wait times exceed SLA at service desk during weekend peak,resolved,loss_prevention
RPT-USR-007-002,USR-007,2026-05-31,inventory_audit,high,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,district_manager
RPT-USR-007-003,USR-007,2025-10-24,district_visit,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,store_manager
RPT-USR-007-004,USR-007,2025-06-28,loss_prevention,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,district_manager
RPT-USR-007-005,USR-007,2026-01-15,mystery_shop,medium,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,mystery_shopper
RPT-USR-007-006,USR-007,2026-05-24,mystery_shop,medium,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,district_manager
RPT-USR-007-007,USR-007,2025-10-25,district_visit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,open,store_manager
RPT-USR-007-008,USR-007,2025-08-11,mystery_shop,medium,shrink,Elevated shrink pattern detected near self-checkout area,open,store_manager
RPT-USR-007-009,USR-007,2025-06-27,facilities,medium,planogram,Shelf tags misaligned with planogram — facings not compliant,in_progress,store_manager
RPT-USR-007-010,USR-007,2025-09-30,loss_prevention,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,mystery_shopper
RPT-USR-008-001,USR-008,2025-08-31,district_visit,low,equipment,Refrigeration unit temperature fluctuation logged in dairy section,in_progress,store_manager
RPT-USR-008-002,USR-008,2026-01-04,safety_audit,medium,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,district_manager
RPT-USR-008-003,USR-008,2025-11-11,district_visit,high,planogram,Shelf tags misaligned with planogram — facings not compliant,resolved,store_manager
RPT-USR-008-004,USR-008,2025-12-01,inventory_audit,low,planogram,Shelf tags misaligned with planogram — facings not compliant,open,district_manager
RPT-USR-008-005,USR-008,2026-04-25,facilities,low,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,district_manager
RPT-USR-009-001,USR-009,2026-02-10,safety_audit,low,customer_service,Wait times exceed SLA at service desk during weekend peak,resolved,store_manager
RPT-USR-009-002,USR-009,2026-04-11,inventory_audit,medium,safety,Blocked emergency exit path noted during walkthrough,in_progress,loss_prevention
RPT-USR-009-003,USR-009,2026-03-19,loss_prevention,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,store_manager
RPT-USR-009-004,USR-009,2026-03-20,safety_audit,low,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,store_manager
RPT-USR-009-005,USR-009,2026-05-29,mystery_shop,low,equipment,Refrigeration unit temperature fluctuation logged in dairy section,resolved,mystery_shopper
RPT-USR-009-006,USR-009,2025-10-07,facilities,low,signage,Promotional signage expired or missing on endcap displays,in_progress,store_manager
RPT-USR-009-007,USR-009,2025-07-27,inventory_audit,low,shrink,Elevated shrink pattern detected near self-checkout area,resolved,store_manager
RPT-USR-009-008,USR-009,2026-06-01,loss_prevention,low,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,district_manager
RPT-USR-009-009,USR-009,2025-11-03,facilities,medium,equipment,Refrigeration unit temperature fluctuation logged in dairy section,resolved,loss_prevention
RPT-USR-009-010,USR-009,2025-10-31,facilities,medium,equipment,Refrigeration unit temperature fluctuation logged in dairy section,open,district_manager
RPT-USR-009-011,USR-009,2025-10-30,district_visit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,district_manager
RPT-USR-009-012,USR-009,2025-11-19,safety_audit,high,shrink,Elevated shrink pattern detected near self-checkout area,resolved,loss_prevention
RPT-USR-009-013,USR-009,2025-08-31,district_visit,medium,shrink,Elevated shrink pattern detected near self-checkout area,resolved,mystery_shopper
RPT-USR-010-001,USR-010,2025-10-16,mystery_shop,low,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,district_manager
RPT-USR-010-002,USR-010,2025-10-13,inventory_audit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,district_manager
RPT-USR-010-003,USR-010,2026-02-27,inventory_audit,medium,planogram,Shelf tags misaligned with planogram — facings not compliant,open,store_manager
RPT-USR-010-004,USR-010,2025-10-05,district_visit,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,store_manager
RPT-USR-010-005,USR-010,2025-07-28,inventory_audit,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,district_manager
RPT-USR-010-006,USR-010,2026-05-14,inventory_audit,low,staffing,Insufficient coverage during peak hours — checkout and service desk,open,mystery_shopper
RPT-USR-010-007,USR-010,2026-01-21,mystery_shop,high,equipment,Refrigeration unit temperature fluctuation logged in dairy section,resolved,store_manager
RPT-USR-010-008,USR-010,2025-09-10,district_visit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,mystery_shopper
RPT-USR-010-009,USR-010,2025-08-11,facilities,medium,signage,Promotional signage expired or missing on endcap displays,open,store_manager
RPT-USR-011-001,USR-011,2025-08-27,inventory_audit,medium,customer_service,Wait times exceed SLA at service desk during weekend peak,in_progress,district_manager
RPT-USR-011-002,USR-011,2025-12-12,safety_audit,low,shrink,Elevated shrink pattern detected near self-checkout area,resolved,store_manager
RPT-USR-011-003,USR-011,2026-03-22,facilities,low,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,store_manager
RPT-USR-011-004,USR-011,2025-07-29,district_visit,low,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,district_manager
RPT-USR-011-005,USR-011,2026-04-30,district_visit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,open,district_manager
RPT-USR-011-006,USR-011,2026-01-18,mystery_shop,medium,shrink,Elevated shrink pattern detected near self-checkout area,resolved,store_manager
RPT-USR-011-007,USR-011,2026-02-20,district_visit,high,shrink,Elevated shrink pattern detected near self-checkout area,open,store_manager
RPT-USR-011-008,USR-011,2025-08-16,facilities,high,customer_service,Wait times exceed SLA at service desk during weekend peak,open,loss_prevention
RPT-USR-011-009,USR-011,2025-10-03,inventory_audit,high,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,loss_prevention
RPT-USR-011-010,USR-011,2026-04-07,inventory_audit,low,signage,Promotional signage expired or missing on endcap displays,in_progress,mystery_shopper
RPT-USR-012-001,USR-012,2025-12-05,district_visit,low,signage,Promotional signage expired or missing on endcap displays,in_progress,district_manager
RPT-USR-012-002,USR-012,2026-04-16,district_visit,low,customer_service,Wait times exceed SLA at service desk during weekend peak,resolved,store_manager
RPT-USR-012-003,USR-012,2025-11-02,safety_audit,medium,customer_service,Wait times exceed SLA at service desk during weekend peak,open,store_manager
RPT-USR-012-004,USR-012,2026-05-29,safety_audit,medium,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,store_manager
RPT-USR-012-005,USR-012,2026-02-21,mystery_shop,low,signage,Promotional signage expired or missing on endcap displays,resolved,district_manager
RPT-USR-012-006,USR-012,2025-07-09,inventory_audit,high,safety,Blocked emergency exit path noted during walkthrough,open,loss_prevention
RPT-USR-012-007,USR-012,2026-05-19,loss_prevention,medium,planogram,Shelf tags misaligned with planogram — facings not compliant,in_progress,mystery_shopper
RPT-USR-012-008,USR-012,2025-12-30,mystery_shop,low,equipment,Refrigeration unit temperature fluctuation logged in dairy section,open,store_manager
RPT-USR-012-009,USR-012,2026-01-24,inventory_audit,medium,planogram,Shelf tags misaligned with planogram — facings not compliant,open,loss_prevention
RPT-USR-012-010,USR-012,2025-11-10,facilities,low,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,district_manager
RPT-USR-012-011,USR-012,2026-06-03,district_visit,low,safety,Blocked emergency exit path noted during walkthrough,open,store_manager
RPT-USR-013-001,USR-013,2026-05-20,loss_prevention,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,mystery_shopper
RPT-USR-013-002,USR-013,2025-12-13,facilities,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,in_progress,district_manager
RPT-USR-013-003,USR-013,2025-12-09,district_visit,low,planogram,Shelf tags misaligned with planogram — facings not compliant,in_progress,loss_prevention
RPT-USR-013-004,USR-013,2026-04-18,loss_prevention,medium,signage,Promotional signage expired or missing on endcap displays,resolved,district_manager
RPT-USR-013-005,USR-013,2025-09-07,mystery_shop,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,open,mystery_shopper
RPT-USR-013-006,USR-013,2026-03-16,district_visit,medium,planogram,Shelf tags misaligned with planogram — facings not compliant,open,district_manager
RPT-USR-013-007,USR-013,2025-09-05,facilities,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,in_progress,store_manager
RPT-USR-013-008,USR-013,2025-12-25,facilities,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,loss_prevention
RPT-USR-013-009,USR-013,2025-08-11,inventory_audit,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,district_manager
RPT-USR-013-010,USR-013,2025-12-05,mystery_shop,low,planogram,Shelf tags misaligned with planogram — facings not compliant,in_progress,store_manager
RPT-USR-013-011,USR-013,2025-09-17,safety_audit,high,safety,Blocked emergency exit path noted during walkthrough,in_progress,mystery_shopper
RPT-USR-013-012,USR-013,2026-05-17,inventory_audit,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,district_manager
RPT-USR-014-001,USR-014,2026-02-19,district_visit,medium,signage,Promotional signage expired or missing on endcap displays,resolved,loss_prevention
RPT-USR-014-002,USR-014,2026-05-21,safety_audit,medium,signage,Promotional signage expired or missing on endcap displays,resolved,loss_prevention
RPT-USR-014-003,USR-014,2026-02-14,loss_prevention,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,mystery_shopper
RPT-USR-014-004,USR-014,2025-12-05,loss_prevention,low,customer_service,Wait times exceed SLA at service desk during weekend peak,in_progress,loss_prevention
RPT-USR-014-005,USR-014,2025-11-11,loss_prevention,high,signage,Promotional signage expired or missing on endcap displays,resolved,store_manager
RPT-USR-014-006,USR-014,2025-07-14,inventory_audit,low,staffing,Insufficient coverage during peak hours — checkout and service desk,in_progress,district_manager
RPT-USR-014-007,USR-014,2025-07-28,district_visit,medium,staffing,Insufficient coverage during peak hours — checkout and service desk,open,district_manager
RPT-USR-014-008,USR-014,2026-06-12,district_visit,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,in_progress,mystery_shopper
RPT-USR-014-009,USR-014,2025-11-29,inventory_audit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,district_manager
RPT-USR-014-010,USR-014,2026-06-17,inventory_audit,low,equipment,Refrigeration unit temperature fluctuation logged in dairy section,in_progress,district_manager
RPT-USR-014-011,USR-014,2026-05-16,district_visit,low,safety,Blocked emergency exit path noted during walkthrough,in_progress,loss_prevention
RPT-USR-015-001,USR-015,2025-12-26,mystery_shop,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,district_manager
RPT-USR-015-002,USR-015,2026-06-22,loss_prevention,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,mystery_shopper
RPT-USR-015-003,USR-015,2026-01-07,mystery_shop,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,store_manager
RPT-USR-015-004,USR-015,2025-07-29,mystery_shop,high,planogram,Shelf tags misaligned with planogram — facings not compliant,resolved,loss_prevention
RPT-USR-015-005,USR-015,2025-12-01,mystery_shop,low,equipment,Refrigeration unit temperature fluctuation logged in dairy section,open,loss_prevention
RPT-USR-015-006,USR-015,2026-01-31,facilities,medium,customer_service,Wait times exceed SLA at service desk during weekend peak,in_progress,district_manager
RPT-USR-016-001,USR-016,2026-01-04,loss_prevention,medium,planogram,Shelf tags misaligned with planogram — facings not compliant,in_progress,loss_prevention
RPT-USR-016-002,USR-016,2025-08-22,mystery_shop,high,staffing,Insufficient coverage during peak hours — checkout and service desk,in_progress,mystery_shopper
RPT-USR-016-003,USR-016,2026-06-16,safety_audit,low,shrink,Elevated shrink pattern detected near self-checkout area,resolved,district_manager
RPT-USR-016-004,USR-016,2025-09-06,loss_prevention,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,mystery_shopper
RPT-USR-016-005,USR-016,2025-10-10,loss_prevention,low,signage,Promotional signage expired or missing on endcap displays,in_progress,store_manager
RPT-USR-016-006,USR-016,2025-08-26,facilities,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,loss_prevention
RPT-USR-016-007,USR-016,2025-09-19,inventory_audit,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,district_manager
RPT-USR-016-008,USR-016,2025-12-26,safety_audit,medium,staffing,Insufficient coverage during peak hours — checkout and service desk,open,mystery_shopper
RPT-USR-016-009,USR-016,2025-10-26,loss_prevention,medium,shrink,Elevated shrink pattern detected near self-checkout area,open,store_manager
RPT-USR-017-001,USR-017,2025-10-02,loss_prevention,medium,signage,Promotional signage expired or missing on endcap displays,resolved,store_manager
RPT-USR-017-002,USR-017,2025-08-21,facilities,high,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,district_manager
RPT-USR-017-003,USR-017,2025-08-11,facilities,medium,customer_service,Wait times exceed SLA at service desk during weekend peak,in_progress,mystery_shopper
RPT-USR-017-004,USR-017,2025-12-01,facilities,low,shrink,Elevated shrink pattern detected near self-checkout area,open,mystery_shopper
RPT-USR-017-005,USR-017,2025-09-12,facilities,low,safety,Blocked emergency exit path noted during walkthrough,resolved,mystery_shopper
RPT-USR-017-006,USR-017,2025-09-20,inventory_audit,high,planogram,Shelf tags misaligned with planogram — facings not compliant,in_progress,mystery_shopper
RPT-USR-017-007,USR-017,2026-01-24,inventory_audit,medium,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,mystery_shopper
RPT-USR-017-008,USR-017,2025-09-28,district_visit,medium,equipment,Refrigeration unit temperature fluctuation logged in dairy section,open,mystery_shopper
RPT-USR-017-009,USR-017,2026-01-06,loss_prevention,low,shrink,Elevated shrink pattern detected near self-checkout area,open,loss_prevention
RPT-USR-017-010,USR-017,2026-03-24,safety_audit,low,staffing,Insufficient coverage during peak hours — checkout and service desk,open,store_manager
RPT-USR-018-001,USR-018,2026-05-27,loss_prevention,high,customer_service,Wait times exceed SLA at service desk during weekend peak,resolved,mystery_shopper
RPT-USR-018-002,USR-018,2026-06-07,district_visit,medium,equipment,Refrigeration unit temperature fluctuation logged in dairy section,resolved,mystery_shopper
RPT-USR-018-003,USR-018,2025-07-08,facilities,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,open,loss_prevention
RPT-USR-018-004,USR-018,2025-08-12,facilities,medium,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,loss_prevention
RPT-USR-018-005,USR-018,2026-02-22,inventory_audit,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,mystery_shopper
RPT-USR-018-006,USR-018,2026-06-22,loss_prevention,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,district_manager
RPT-USR-018-007,USR-018,2026-04-09,mystery_shop,low,planogram,Shelf tags misaligned with planogram — facings not compliant,open,loss_prevention
RPT-USR-018-008,USR-018,2025-07-06,mystery_shop,low,shrink,Elevated shrink pattern detected near self-checkout area,open,district_manager
RPT-USR-018-009,USR-018,2026-03-15,district_visit,high,shrink,Elevated shrink pattern detected near self-checkout area,open,loss_prevention
RPT-USR-019-001,USR-019,2026-02-16,mystery_shop,high,signage,Promotional signage expired or missing on endcap displays,in_progress,district_manager
RPT-USR-019-002,USR-019,2025-09-22,district_visit,low,planogram,Shelf tags misaligned with planogram — facings not compliant,open,loss_prevention
RPT-USR-019-003,USR-019,2026-05-13,mystery_shop,medium,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,district_manager
RPT-USR-019-004,USR-019,2025-10-20,mystery_shop,medium,equipment,Refrigeration unit temperature fluctuation logged in dairy section,in_progress,store_manager
RPT-USR-019-005,USR-019,2025-12-15,district_visit,low,safety,Blocked emergency exit path noted during walkthrough,resolved,district_manager
RPT-USR-019-006,USR-019,2025-08-05,mystery_shop,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,loss_prevention
RPT-USR-019-007,USR-019,2025-12-06,facilities,medium,safety,Blocked emergency exit path noted during walkthrough,resolved,store_manager
RPT-USR-019-008,USR-019,2026-03-27,safety_audit,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,mystery_shopper
RPT-USR-019-009,USR-019,2025-08-03,facilities,low,safety,Blocked emergency exit path noted during walkthrough,in_progress,mystery_shopper
RPT-USR-019-010,USR-019,2025-11-16,loss_prevention,low,planogram,Shelf tags misaligned with planogram — facings not compliant,in_progress,mystery_shopper
RPT-USR-020-001,USR-020,2025-11-09,safety_audit,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,in_progress,store_manager
RPT-USR-020-002,USR-020,2025-08-13,district_visit,low,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,resolved,loss_prevention
RPT-USR-020-003,USR-020,2026-02-13,mystery_shop,low,shrink,Elevated shrink pattern detected near self-checkout area,resolved,mystery_shopper
RPT-USR-020-004,USR-020,2026-03-17,facilities,low,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,mystery_shopper
RPT-USR-020-005,USR-020,2025-12-21,safety_audit,low,signage,Promotional signage expired or missing on endcap displays,resolved,loss_prevention
RPT-USR-020-006,USR-020,2025-08-16,district_visit,high,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,in_progress,store_manager
RPT-USR-020-007,USR-020,2026-02-18,inventory_audit,medium,equipment,Refrigeration unit temperature fluctuation logged in dairy section,in_progress,loss_prevention
RPT-USR-020-008,USR-020,2026-03-13,inventory_audit,low,equipment,Refrigeration unit temperature fluctuation logged in dairy section,resolved,mystery_shopper
RPT-USR-021-001,USR-021,2026-01-31,inventory_audit,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,loss_prevention
RPT-USR-021-002,USR-021,2026-06-07,facilities,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,mystery_shopper
RPT-USR-021-003,USR-021,2026-01-27,facilities,low,customer_service,Wait times exceed SLA at service desk during weekend peak,open,store_manager
RPT-USR-021-004,USR-021,2025-08-09,mystery_shop,high,customer_service,Wait times exceed SLA at service desk during weekend peak,in_progress,loss_prevention
RPT-USR-021-005,USR-021,2025-06-29,loss_prevention,high,signage,Promotional signage expired or missing on endcap displays,resolved,district_manager
RPT-USR-021-006,USR-021,2025-06-29,inventory_audit,low,customer_service,Wait times exceed SLA at service desk during weekend peak,resolved,store_manager
RPT-USR-021-007,USR-021,2025-08-29,mystery_shop,medium,planogram,Shelf tags misaligned with planogram — facings not compliant,open,district_manager
RPT-USR-021-008,USR-021,2025-12-25,mystery_shop,low,signage,Promotional signage expired or missing on endcap displays,in_progress,loss_prevention
RPT-USR-022-001,USR-022,2026-06-05,mystery_shop,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,open,district_manager
RPT-USR-022-002,USR-022,2026-01-09,facilities,high,equipment,Refrigeration unit temperature fluctuation logged in dairy section,open,loss_prevention
RPT-USR-022-003,USR-022,2025-11-20,mystery_shop,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,store_manager
RPT-USR-022-004,USR-022,2025-09-28,facilities,low,signage,Promotional signage expired or missing on endcap displays,resolved,mystery_shopper
