store_id,retailer,banner,store_name,city,state,store_format
USR-059,Sprouts,Sprouts,Sprouts San Antonio,San Antonio,TX,Neighborhood
USR-060,Trader Joe's,Trader Joe's,Trader Joe's San Diego,San Diego,CA,Neighborhood
USR-061,Walmart,Walmart,Walmart Dallas,Dallas,TX,Supercenter
USR-062,Target,Target,Target Austin,Austin,TX,Neighborhood
USR-063,Kroger,Kroger,Kroger Jacksonville,Jacksonville,FL,Neighborhood
USR-064,Costco,Costco,Costco Fort Worth,Fort Worth,TX,Supercenter
USR-065,Albertsons,Albertsons,Albertsons Columbus,Columbus,OH,Neighborhood
USR-066,Publix,Publix,Publix Charlotte,Charlotte,NC,Neighborhood
USR-067,Whole Foods,Whole Foods,Whole Foods Indianapolis,Indianapolis,IN,Neighborhood
USR-068,CVS,CVS,CVS Seattle,Seattle,WA,Neighborhood
USR-069,Walgreens,Walgreens,Walgreens Denver,Denver,CO,Neighborhood
USR-070,Home Depot,Home Depot,Home Depot Boston,Boston,MA,Neighborhood
USR-071,Lowe's,Lowe's,Lowe's Nashville,Nashville,TN,Neighborhood
USR-072,Best Buy,Best Buy,Best Buy Detroit,Detroit,MI,Neighborhood
USR-073,Dollar General,Dollar General,Dollar General Portland,Portland,OR,Neighborhood
USR-074,Sam's Club,Sam's Club,Sam's Club Memphis,Memphis,TN,Supercenter
USR-075,Aldi,Aldi,Aldi Louisville,Louisville,KY,Neighborhood
USR-076,H-E-B,H-E-B,H-E-B Baltimore,Baltimore,MD,Neighborhood
USR-077,Meijer,Meijer,Meijer Milwaukee,Milwaukee,WI,Neighborhood
USR-078,Safeway,Safeway,Safeway Albuquerque,Albuquerque,NM,Neighborhood
USR-079,Sprouts,Sprouts,Sprouts Tucson,Tucson,AZ,Neighborhood
USR-080,Trader Joe's,Trader Joe's,Trader Joe's Fresno,Fresno,CA,Neighborhood
USR-081,Walmart,Walmart,Walmart Sacramento,Sacramento,CA,Supercenter
USR-082,Target,Target,Target Kansas City,Kansas City,MO,Neighborhood
USR-083,Kroger,Kroger,Kroger Atlanta,Atlanta,GA,Neighborhood
USR-084,Costco,Costco,Costco Miami,Miami,FL,Supercenter
USR-085,Albertsons,Albertsons,Albertsons Tampa,Tampa,FL,Neighborhood
USR-086,Publix,Publix,Publix Orlando,Orlando,FL,Neighborhood
USR-087,Whole Foods,Whole Foods,Whole Foods Cleveland,Cleveland,OH,Neighborhood
USR-088,CVS,CVS,CVS Pittsburgh,Pittsburgh,PA,Neighborhood
USR-089,Walgreens,Walgreens,Walgreens St. Louis,St. Louis,MO,Neighborhood
USR-090,Home Depot,Home Depot,Home Depot Cincinnati,Cincinnati,OH,Neighborhood
USR-091,Lowe's,Lowe's,Lowe's Raleigh,Raleigh,NC,Neighborhood
USR-092,Best Buy,Best Buy,Best Buy New Orleans,New Orleans,LA,Neighborhood
USR-093,Dollar General,Dollar General,Dollar General Salt Lake City,Salt Lake City,UT,Neighborhood
USR-094,Sam's Club,Sam's Club,Sam's Club Birmingham,Birmingham,AL,Supercenter
USR-095,Aldi,Aldi,Aldi Richmond,Richmond,VA,Neighborhood
USR-096,H-E-B,H-E-B,H-E-B Boise,Boise,ID,Neighborhood
USR-097,Meijer,Meijer,Meijer Omaha,Omaha,NE,Neighborhood
USR-098,Safeway,Safeway,Safeway Oklahoma City,Oklahoma City,OK,Neighborhood
USR-099,Sprouts,Sprouts,Sprouts Minneapolis,Minneapolis,MN,Neighborhood
USR-100,Trader Joe's,Trader Joe's,Trader Joe's Buffalo,Buffalo,NY,Neighborhood
