news_id,store_id,city,state,published_date,headline,summary,event_type,demand_impact,source
NEWS-00019,USR-001,New York,NY,2026-04-15,"Walmart Deepens Commitment to New York, Fueling Long-Term Impact and Future Statewide Investments",The above button links to Coinbase. Yahoo Finance is not a broker-dealer or investment adviser and does not offer securities or cryptocurrencies for sale or facilitate trading. Coinbase pays us for ...,local_news,neutral,bing.com
NEWS-00020,USR-001,New York,NY,2026-04-15,"Walmart is remodeling 24 New York stores in 2026. Here’s what’s changing, and where",The above button links to Coinbase. Yahoo Finance is not a broker-dealer or investment adviser and does not offer securities or cryptocurrencies for sale or facilitate trading. Coinbase pays us for ...,local_news,neutral,bing.com
NEWS-00021,USR-001,New York,NY,2026-04-23,"Walmart to remodel 23 stores in New York, including 2 in Finger Lakes","As part of an effort to modernize in-store and digital shopping experiences, Walmart stores in Watkins Glen and Ithaca are among 23 in New York state that will be remodeled by the end of 2026. Walmart ...",local_news,neutral,bing.com
NEWS-00022,USR-001,New York,NY,2026-04-24,Walmart is remodeling 23 New York stores. What's new?,"Walmart has 98 stores across New York, according to its website, and by the end of this year, nearly two dozen will be remodeled as part of ongoing efforts to modernize in-store and digital shopping ...",local_news,neutral,bing.com
NEWS-00023,USR-002,Los Angeles,CA,2026-05-06,"Target-Anchored Retail Center On Track To Open In Beaumont, California - Bisnow","Target-Anchored Retail Center On Track To Open In Beaumont, California Bisnow",local_news,neutral,Bisnow
NEWS-00024,USR-002,Los Angeles,CA,2026-05-13,10 CA Target Stores To Be Remodeled Ahead Of Holiday Shopping Season - Patch,10 CA Target Stores To Be Remodeled Ahead Of Holiday Shopping Season Patch,local_news,neutral,Patch
NEWS-00025,USR-002,Los Angeles,CA,2026-03-03,"Target reports Q4, full year results - Drug Store News","Target reports Q4, full year results Drug Store News",local_news,neutral,Drug Store News
NEWS-00026,USR-002,Los Angeles,CA,2026-02-12,Faith Leaders Sing and Pray in Goleta Target Store to Urge a Stand over ICE - The Santa Barbara Independent,Faith Leaders Sing and Pray in Goleta Target Store to Urge a Stand over ICE The Santa Barbara Independent,local_news,neutral,The Santa Barbara Independent
NEWS-00027,USR-002,Los Angeles,CA,2025-12-19,"Target left botulism-linked infant formula on store shelves, FDA says - Los Angeles Times","Target left botulism-linked infant formula on store shelves, FDA says Los Angeles Times",local_news,neutral,Los Angeles Times
NEWS-00028,USR-002,Los Angeles,CA,2026-02-03,Target’s new CEO isn’t acknowledging the anti-ICE protests - Fortune,Target’s new CEO isn’t acknowledging the anti-ICE protests Fortune,local_news,neutral,Fortune
NEWS-00029,USR-002,Los Angeles,CA,2026-06-04,Worst grocery store in LA brutally roasted as locals torch high prices - New York Post,Worst grocery store in LA brutally roasted as locals torch high prices New York Post,local_news,neutral,New York Post
NEWS-00030,USR-002,Los Angeles,CA,2026-03-31,The thriving California grocery store that only opens in high-end areas - SFGATE,The thriving California grocery store that only opens in high-end areas SFGATE,local_news,neutral,SFGATE
NEWS-00031,USR-002,Los Angeles,CA,2025-11-10,State Funding Brings Grocery Store to Food Desert Community - Department of Toxic Substances Control (.gov),State Funding Brings Grocery Store to Food Desert Community Department of Toxic Substances Control (.gov),local_news,neutral,Department of Toxic Substances Control (.gov)
NEWS-00032,USR-002,Los Angeles,CA,2026-06-10,Girl Swept To Out Sea | E-Bikers Rampage Grocery Store | 4K Workers To Become Instant Millionaires - Patch,Girl Swept To Out Sea | E-Bikers Rampage Grocery Store | 4K Workers To Become Instant Millionaires Patch,local_news,neutral,Patch
NEWS-00033,USR-002,Los Angeles,CA,2026-02-05,"3 people dead, several others injured after car slams into Westwood grocery store - NBC Los Angeles","3 people dead, several others injured after car slams into Westwood grocery store NBC Los Angeles",local_news,neutral,NBC Los Angeles
NEWS-00034,USR-002,Los Angeles,CA,2026-02-12,America’s hottest grocery store is also its priciest - The Economist,America’s hottest grocery store is also its priciest The Economist,local_news,neutral,The Economist
NEWS-00035,USR-002,Los Angeles,CA,2026-06-22,Bed Bath & Beyond begins reopening in California with a bonus: Old coupons will be honored - Los Angeles Times,Bed Bath & Beyond begins reopening in California with a bonus: Old coupons will be honored Los Angeles Times,new_competitor,neutral,Los Angeles Times
NEWS-00036,USR-002,Los Angeles,CA,2026-04-24,"Bed Bath & Beyond returning to Southern California, combining locations with The Container Store - ABC7 Los Angeles","Bed Bath & Beyond returning to Southern California, combining locations with The Container Store ABC7 Los Angeles",local_news,neutral,ABC7 Los Angeles
NEWS-00037,USR-002,Los Angeles,CA,2026-03-26,"These CA Stores Among More Than 1,400 In U.S. Expected To Close In 2026 - Patch","These CA Stores Among More Than 1,400 In U.S. Expected To Close In 2026 Patch",local_news,neutral,Patch
NEWS-00038,USR-002,Los Angeles,CA,2026-03-10,See which Grocery Outlet stores will close in Southern California - NBC Los Angeles,See which Grocery Outlet stores will close in Southern California NBC Los Angeles,local_news,neutral,NBC Los Angeles
NEWS-00039,USR-002,Los Angeles,CA,2026-01-27,Amazon Fresh stores in California are set to close | Full List - ABC10,Amazon Fresh stores in California are set to close | Full List ABC10,local_news,neutral,ABC10
NEWS-00040,USR-002,Los Angeles,CA,2026-04-14,Macy’s to close 14 stores by end of year — including 2 California locations - New York Post,Macy’s to close 14 stores by end of year — including 2 California locations New York Post,local_news,neutral,New York Post
NEWS-00041,USR-002,Los Angeles,CA,2024-12-31,Man arrested for firing at two security guards outside a Los Angeles Target,"LOS ANGELES: Two security guards at a downtown Los Angeles shopping plaza were wounded in a gunfight with a man as they tried to stop him from making off with more than $1,000 of stolen merchandise, ...",local_news,neutral,bing.com
NEWS-00042,USR-002,Los Angeles,CA,2026-05-06,"Target-Anchored Retail Center On Track To Open In Beaumont, California","Regency Centers is moving forward with construction of Oak Valley Village, a 230K SF open-air retail destination in Beaumont, California, on the Interstate 10 corridor. Oak Valley Village will deliver ...",construction,negative,bing.com
NEWS-00043,USR-002,Los Angeles,CA,2024-02-01,Gov. Newsom says Target worker blamed him for rampant retail theft in CA,SAN FRANCISCO -- A story shared by Governor Gavin Newsom is getting a lot of attention. He said he confronted a Target worker in the Sacramento area who didn't stop a thief from stealing. Newsom told ...,local_news,neutral,bing.com
NEWS-00044,USR-003,Chicago,IL,2025-08-27,"Labor Day 2025 Grocery And Retail Store Hours In IL: What's Open, What's Closed | Across Illinois - Patch","Labor Day 2025 Grocery And Retail Store Hours In IL: What's Open, What's Closed | Across Illinois Patch",local_news,neutral,Patch
NEWS-00045,USR-003,Chicago,IL,2025-11-05,"Salsa sold at Kroger, Mariano's grocery stores in Illinois recalled for listeria - NBC 5 Chicago","Salsa sold at Kroger, Mariano's grocery stores in Illinois recalled for listeria NBC 5 Chicago",local_news,neutral,NBC 5 Chicago
NEWS-00046,USR-003,Chicago,IL,2025-08-29,"Radioactive shrimp recall: FDA expands warning, impacting shrimp at Mariano's, Kroger, Walmart locations in Illinois, Indiana - ABC7 Chicago","Radioactive shrimp recall: FDA expands warning, impacting shrimp at Mariano's, Kroger, Walmart locations in Illinois, Indiana ABC7 Chicago",local_news,neutral,ABC7 Chicago
NEWS-00047,USR-003,Chicago,IL,2025-08-15,Kroger is closing some of its stores in August. See shuttering locations in 4 states. - USA Today,Kroger is closing some of its stores in August. See shuttering locations in 4 states. USA Today,local_news,neutral,USA Today
NEWS-00048,USR-003,Chicago,IL,2025-12-29,These IL Retail Stores Could Shutter In 2026 As Business Closures Continue - Patch,These IL Retail Stores Could Shutter In 2026 As Business Closures Continue Patch,construction,negative,Patch
NEWS-00049,USR-003,Chicago,IL,2025-10-06,"Kroger, Mariano's recall popular deli salad sold at grocery stores due to listeria - NBC 5 Chicago","Kroger, Mariano's recall popular deli salad sold at grocery stores due to listeria NBC 5 Chicago",local_news,neutral,NBC 5 Chicago
NEWS-00050,USR-003,Chicago,IL,2026-06-18,Another Mariano's grocery store in the Chicago suburbs to shutter - NBC 5 Chicago,Another Mariano's grocery store in the Chicago suburbs to shutter NBC 5 Chicago,local_news,neutral,NBC 5 Chicago
NEWS-00051,USR-003,Chicago,IL,2026-05-11,"As Illinoisans lose federal food assistance, independent grocers face debt, store closure - Capitol News Illinois","As Illinoisans lose federal food assistance, independent grocers face debt, store closure Capitol News Illinois",construction,negative,Capitol News Illinois
NEWS-00052,USR-003,Chicago,IL,2026-01-13,Amazon takes on Walmart with new store concept - Grocery Dive,Amazon takes on Walmart with new store concept Grocery Dive,new_competitor,neutral,Grocery Dive
NEWS-00053,USR-003,Chicago,IL,2026-05-12,SNAP changes leave Chicago families and grocery stores reeling - WBEZ Chicago,SNAP changes leave Chicago families and grocery stores reeling WBEZ Chicago,local_news,neutral,WBEZ Chicago
NEWS-00054,USR-003,Chicago,IL,2026-01-27,Amazon doubles down on online grocery delivery and Whole Foods Market expansion to reach more customers - About Amazon,Amazon doubles down on online grocery delivery and Whole Foods Market expansion to reach more customers About Amazon,local_news,neutral,About Amazon
NEWS-00055,USR-003,Chicago,IL,2026-02-27,Hyde Park Produce grocery store abruptly closed by Illinois Department of Revenue - CBS News,Hyde Park Produce grocery store abruptly closed by Illinois Department of Revenue CBS News,local_news,neutral,CBS News
NEWS-00056,USR-003,Chicago,IL,2026-06-03,"Illinois Layoffs Top 8,000 In Recent Months As Major Store Closings, Job Cuts Hit - Patch","Illinois Layoffs Top 8,000 In Recent Months As Major Store Closings, Job Cuts Hit Patch",local_news,neutral,Patch
NEWS-00057,USR-003,Chicago,IL,2026-03-06,News | Saks Global to close 15 more stores across US - CoStar,News | Saks Global to close 15 more stores across US CoStar,local_news,neutral,CoStar
NEWS-00058,USR-003,Chicago,IL,2026-03-10,Illinois' last Saks Fifth Avenue store is closing in Chicago - Peoria Journal Star,Illinois' last Saks Fifth Avenue store is closing in Chicago Peoria Journal Star,local_news,neutral,Peoria Journal Star
NEWS-00059,USR-003,Chicago,IL,2026-04-03,"Target, Aldi And Costco Are Closing In Chicago This Sunday: Full List Of Easter 2026 Store Closures And Hours - Secret Chicago","Target, Aldi And Costco Are Closing In Chicago This Sunday: Full List Of Easter 2026 Store Closures And Hours Secret Chicago",construction,negative,Secret Chicago
NEWS-00060,USR-004,Houston,TX,2026-06-22,Mother arrested after leaving 4-year-old alone in hot vehicle while shopping at Costco - Click2Houston,Mother arrested after leaving 4-year-old alone in hot vehicle while shopping at Costco Click2Houston,local_news,neutral,Click2Houston
NEWS-00061,USR-004,Houston,TX,2026-05-25,"Memorial Day 2026: What's open and closed including banks, post offices and retail stores - ABC13 Houston","Memorial Day 2026: What's open and closed including banks, post offices and retail stores ABC13 Houston",local_news,neutral,ABC13 Houston
NEWS-00062,USR-004,Houston,TX,2026-06-02,Ensueño(R) Laundry Launches New Liquid Detergent Exclusively at Costco Stores - ACCESS Newswire,Ensueño(R) Laundry Launches New Liquid Detergent Exclusively at Costco Stores ACCESS Newswire,local_news,neutral,ACCESS Newswire
NEWS-00063,USR-004,Houston,TX,2025-12-16,"Growing Central Texas suburb has first Costco, Target under construction - Houston Chronicle","Growing Central Texas suburb has first Costco, Target under construction Houston Chronicle",construction,negative,Houston Chronicle
NEWS-00064,USR-004,Houston,TX,2025-09-11,Costco plans new store in Cypress area along Grand Parkway - KHOU,Costco plans new store in Cypress area along Grand Parkway KHOU,new_competitor,neutral,KHOU
NEWS-00065,USR-004,Houston,TX,2025-09-13,Costco Plans Another Katy Area Store on Grand Parkway - Covering Katy News,Costco Plans Another Katy Area Store on Grand Parkway Covering Katy News,local_news,neutral,Covering Katy News
NEWS-00066,USR-004,Houston,TX,2026-06-08,"How grocery stores influence neighborhoods (June 8, 2026) - Houston Public Media","How grocery stores influence neighborhoods (June 8, 2026) Houston Public Media",local_news,neutral,Houston Public Media
NEWS-00067,USR-004,Houston,TX,2026-04-04,Easter 2026: Which Houston stores will be open and which will be closed? - KHOU,Easter 2026: Which Houston stores will be open and which will be closed? KHOU,local_news,neutral,KHOU
NEWS-00068,USR-004,Houston,TX,2026-06-09,H-E-B rival takes on homegrown grocer with 12 new 'food-forward' Texas stores - MySA,H-E-B rival takes on homegrown grocer with 12 new 'food-forward' Texas stores MySA,local_news,neutral,MySA
NEWS-00069,USR-004,Houston,TX,2025-11-27,"Which stores are open and closed on Thanksgiving 2025 in Houston, Texas? - FOX 26 Houston","Which stores are open and closed on Thanksgiving 2025 in Houston, Texas? FOX 26 Houston",local_news,neutral,FOX 26 Houston
NEWS-00070,USR-004,Houston,TX,2026-05-26,"Houston shopper finds credit card skimmer on checkout machine at southwest grocery store, police called - Click2Houston","Houston shopper finds credit card skimmer on checkout machine at southwest grocery store, police called Click2Houston",local_news,neutral,Click2Houston
NEWS-00071,USR-004,Houston,TX,2026-02-03,Texas leads in retail construction - marketplace.org,Texas leads in retail construction marketplace.org,construction,negative,marketplace.org
NEWS-00072,USR-004,Houston,TX,2026-06-17,Panera Bread stores that closed in a franchise dispute are reopening under new ownership: See a list of locations - Fast Company,Panera Bread stores that closed in a franchise dispute are reopening under new ownership: See a list of locations Fast Company,new_competitor,neutral,Fast Company
NEWS-00073,USR-004,Houston,TX,2025-12-29,What’s open and closed on New Year’s Eve and New Year’s Day - CW39 Houston,What’s open and closed on New Year’s Eve and New Year’s Day CW39 Houston,local_news,neutral,CW39 Houston
NEWS-00074,USR-004,Houston,TX,2026-03-07,One of Houston's biggest grocery chains is closing stores. Why? - Chron,One of Houston's biggest grocery chains is closing stores. Why? Chron,local_news,neutral,Chron
NEWS-00075,USR-004,Houston,TX,2026-01-25,"Houston grocery store hours: Winter storm updates for H-E-B, Kroger and Walmart - Click2Houston","Houston grocery store hours: Winter storm updates for H-E-B, Kroger and Walmart Click2Houston",weather,negative,Click2Houston
NEWS-00076,USR-005,Phoenix,AZ,2026-04-02,"Major grocery chain closes more stores, cuts jobs as post-merger fallout deepens - FOX 10 Phoenix","Major grocery chain closes more stores, cuts jobs as post-merger fallout deepens FOX 10 Phoenix",local_news,neutral,FOX 10 Phoenix
NEWS-00077,USR-005,Phoenix,AZ,2025-11-26,"Here are the Thanksgiving store hours for supermarkets that are open in metro-Phoenix, and the list of closed big-box retailers on Thursday - 12News","Here are the Thanksgiving store hours for supermarkets that are open in metro-Phoenix, and the list of closed big-box retailers on Thursday 12News",local_news,neutral,12News
NEWS-00078,USR-005,Phoenix,AZ,2025-12-30,Phoenix grocery stores open on New Year’s Eve and Day - Phoenix New Times,Phoenix grocery stores open on New Year’s Eve and Day Phoenix New Times,local_news,neutral,Phoenix New Times
NEWS-00079,USR-005,Phoenix,AZ,2025-10-16,"Best grocery deals through Oct. 21 at Phoenix area Fry’s, Bashas', Safeway and Food City - azcentral.com and The Arizona Republic","Best grocery deals through Oct. 21 at Phoenix area Fry’s, Bashas', Safeway and Food City azcentral.com and The Arizona Republic",local_news,neutral,azcentral.com and The Arizona Republic
NEWS-00080,USR-005,Phoenix,AZ,2025-12-22,Phoenix grocery stores open on Christmas Eve and Day - Phoenix New Times,Phoenix grocery stores open on Christmas Eve and Day Phoenix New Times,local_news,neutral,Phoenix New Times
NEWS-00081,USR-005,Phoenix,AZ,2025-12-22,"Here’s what stores are open, and which ones are closed, on Christmas - AZ Family","Here’s what stores are open, and which ones are closed, on Christmas AZ Family",local_news,neutral,AZ Family
NEWS-00082,USR-005,Phoenix,AZ,2026-06-05,Trader Joe's plans another store in central Phoenix - The Business Journals,Trader Joe's plans another store in central Phoenix The Business Journals,local_news,neutral,The Business Journals
NEWS-00083,USR-005,Phoenix,AZ,2026-05-28,Metro Phoenix grocery store had moldy tomatoes for sale - azcentral.com and The Arizona Republic,Metro Phoenix grocery store had moldy tomatoes for sale azcentral.com and The Arizona Republic,local_news,neutral,azcentral.com and The Arizona Republic
NEWS-00084,USR-005,Phoenix,AZ,2026-06-09,Trader Joe’s is coming to Arcadia. What to know - Phoenix New Times,Trader Joe’s is coming to Arcadia. What to know Phoenix New Times,local_news,neutral,Phoenix New Times
NEWS-00085,USR-005,Phoenix,AZ,2026-06-05,Trader Joe’s Expanding in Phoenix With Two New Stores - WhatNow,Trader Joe’s Expanding in Phoenix With Two New Stores WhatNow,new_competitor,neutral,WhatNow
NEWS-00086,USR-005,Phoenix,AZ,2025-12-21,What's open and closed on Christmas Day 2025 - FOX 10 Phoenix,What's open and closed on Christmas Day 2025 FOX 10 Phoenix,local_news,neutral,FOX 10 Phoenix
NEWS-00087,USR-005,Phoenix,AZ,2026-04-20,Decades-old Phoenix pizza shop being forced out for convenience store - AZ Family,Decades-old Phoenix pizza shop being forced out for convenience store AZ Family,local_news,neutral,AZ Family
NEWS-00088,USR-005,Phoenix,AZ,2025-10-10,"Iconic 169-year-old retailer to shutter 36 locations, citing tariffs - FOX 10 Phoenix","Iconic 169-year-old retailer to shutter 36 locations, citing tariffs FOX 10 Phoenix",local_news,neutral,FOX 10 Phoenix
NEWS-00089,USR-005,Phoenix,AZ,2026-04-24,Bed Bath & Beyond products return to Phoenix after three-year absence - The Business Journals,Bed Bath & Beyond products return to Phoenix after three-year absence The Business Journals,local_news,neutral,The Business Journals
NEWS-00090,USR-005,Phoenix,AZ,2026-04-05,Payless Closing 7 Stores in Arizona Immediately - Real Estate Daily News,Payless Closing 7 Stores in Arizona Immediately Real Estate Daily News,local_news,neutral,Real Estate Daily News
NEWS-00091,USR-005,Phoenix,AZ,2025-11-22,Last-minute Thanksgiving 2025 shopping? When AZ stores like Basha’s close - azcentral.com and The Arizona Republic,Last-minute Thanksgiving 2025 shopping? When AZ stores like Basha’s close azcentral.com and The Arizona Republic,local_news,neutral,azcentral.com and The Arizona Republic
NEWS-00092,USR-006,Philadelphia,PA,2026-05-25,"Memorial Day 2026: What's open and closed including banks, post offices and retail stores - 6abc Philadelphia","Memorial Day 2026: What's open and closed including banks, post offices and retail stores 6abc Philadelphia",local_news,neutral,6abc Philadelphia
NEWS-00093,USR-006,Philadelphia,PA,2025-09-18,Major grocery store chain opening new locations in 5 states this month - FOX 29 Philadelphia,Major grocery store chain opening new locations in 5 states this month FOX 29 Philadelphia,new_competitor,neutral,FOX 29 Philadelphia
NEWS-00094,USR-006,Philadelphia,PA,2025-11-24,Stores that are open and closed on Thanksgiving this year - LiveNOW from FOX,Stores that are open and closed on Thanksgiving this year LiveNOW from FOX,local_news,neutral,LiveNOW from FOX
NEWS-00095,USR-006,Philadelphia,PA,2026-05-14,"These are the best places to work in Florida, report claims - WKMG","These are the best places to work in Florida, report claims WKMG",local_news,neutral,WKMG
NEWS-00096,USR-006,Philadelphia,PA,2025-08-31,This is what's open and closed on Labor Day 2025 - NBC New York,This is what's open and closed on Labor Day 2025 NBC New York,local_news,neutral,NBC New York
NEWS-00097,USR-006,Philadelphia,PA,2025-12-23,"What's open on Christmas Day 2025? And what's closed? Here's what to know about pharmacies, grocery stores, and more - 6abc Philadelphia","What's open on Christmas Day 2025? And what's closed? Here's what to know about pharmacies, grocery stores, and more 6abc Philadelphia",local_news,neutral,6abc Philadelphia
NEWS-00098,USR-006,Philadelphia,PA,2026-06-11,Man wanted for deadly grocery store shooting in Philadelphia's University City section - 6abc Philadelphia,Man wanted for deadly grocery store shooting in Philadelphia's University City section 6abc Philadelphia,local_news,neutral,6abc Philadelphia
NEWS-00099,USR-006,Philadelphia,PA,2026-06-02,Giant Co. Opens Store in Philadelphia’s Andorra Shopping Center - Progressive Grocer,Giant Co. Opens Store in Philadelphia’s Andorra Shopping Center Progressive Grocer,local_news,neutral,Progressive Grocer
NEWS-00100,USR-006,Philadelphia,PA,2026-06-09,Whole Foods plans store in new Fishtown development - The Business Journals,Whole Foods plans store in new Fishtown development The Business Journals,local_news,neutral,The Business Journals
NEWS-00101,USR-006,Philadelphia,PA,2026-06-02,Giant set to open grocery store in former Acme space at Andorra Shopping Center - PhillyVoice,Giant set to open grocery store in former Acme space at Andorra Shopping Center PhillyVoice,local_news,neutral,PhillyVoice
NEWS-00102,USR-006,Philadelphia,PA,2026-03-27,West Philly sustainable grocery store is already feeding the community before opening - WHYY,West Philly sustainable grocery store is already feeding the community before opening WHYY,new_competitor,neutral,WHYY
NEWS-00103,USR-006,Philadelphia,PA,2026-04-24,Price check: How inspectors make sure grocery store sales ring up correctly - CBS News,Price check: How inspectors make sure grocery store sales ring up correctly CBS News,local_news,neutral,CBS News
NEWS-00104,USR-006,Philadelphia,PA,2026-01-06,The Shops at Liberty Place in Center City Philadelphia are up for sale - WHYY,The Shops at Liberty Place in Center City Philadelphia are up for sale WHYY,local_news,neutral,WHYY
NEWS-00105,USR-006,Philadelphia,PA,2026-01-07,Trump store in suburban Philadelphia 'kind of run its course' and is set to close - 6abc Philadelphia,Trump store in suburban Philadelphia 'kind of run its course' and is set to close 6abc Philadelphia,local_news,neutral,6abc Philadelphia
NEWS-00106,USR-006,Philadelphia,PA,2026-05-04,Major Clothing Retailer In PA Closing 150 U.S. Stores - Patch,Major Clothing Retailer In PA Closing 150 U.S. Stores Patch,local_news,neutral,Patch
NEWS-00107,USR-006,Philadelphia,PA,2026-03-06,"8 Grocery Outlet stores closing in Pa., NJ - NBC10 Philadelphia","8 Grocery Outlet stores closing in Pa., NJ NBC10 Philadelphia",local_news,neutral,NBC10 Philadelphia
NEWS-00108,USR-006,Philadelphia,PA,2026-02-10,Saks Fifth Avenue in Bala Cynwyd is closing - Inquirer.com,Saks Fifth Avenue in Bala Cynwyd is closing Inquirer.com,local_news,neutral,Inquirer.com
NEWS-00109,USR-006,Philadelphia,PA,2026-02-18,Di Bruno Bros. closes 3 stores - Grocery Dive,Di Bruno Bros. closes 3 stores Grocery Dive,local_news,neutral,Grocery Dive
NEWS-00110,USR-007,San Antonio,TX,2026-06-04,Whole Foods Market donates 100th Nourishing Our Neighborhoods refrigerated Van to San Antonio Food Bank - Mass Market Retailers,Whole Foods Market donates 100th Nourishing Our Neighborhoods refrigerated Van to San Antonio Food Bank Mass Market Retailers,local_news,neutral,Mass Market Retailers
NEWS-00111,USR-007,San Antonio,TX,2026-06-08,Canadian warehouse workers have signed the first-ever collective agreement with Walmart - FreshPlaza,Canadian warehouse workers have signed the first-ever collective agreement with Walmart FreshPlaza,local_news,neutral,FreshPlaza
NEWS-00112,USR-007,San Antonio,TX,2026-03-11,Is buying online or in-store cheaper? Comparing grocery prices across the U.S. - NBC New York,Is buying online or in-store cheaper? Comparing grocery prices across the U.S. NBC New York,local_news,neutral,NBC New York
NEWS-00113,USR-007,San Antonio,TX,2026-04-04,"What’s open, closed on Easter in the San Antonio area - KSAT","What’s open, closed on Easter in the San Antonio area KSAT",local_news,neutral,KSAT
NEWS-00114,USR-007,San Antonio,TX,2026-01-28,Amazon to close most Amazon Go and Amazon Fresh stores in days - MySA,Amazon to close most Amazon Go and Amazon Fresh stores in days MySA,local_news,neutral,MySA
NEWS-00115,USR-007,San Antonio,TX,2025-08-27,New Whole Foods officially opens in McKinney - WFAA,New Whole Foods officially opens in McKinney WFAA,local_news,neutral,WFAA
NEWS-00116,USR-007,San Antonio,TX,2026-06-19,Is H-E-B already planning a 2nd store in this North Texas city? - MySA,Is H-E-B already planning a 2nd store in this North Texas city? MySA,local_news,neutral,MySA
NEWS-00117,USR-007,San Antonio,TX,2026-06-01,H-E-B will open another North Texas store this month - Dallas News,H-E-B will open another North Texas store this month Dallas News,local_news,neutral,Dallas News
NEWS-00118,USR-007,San Antonio,TX,2026-06-16,Texas grocery race heats up with H-E-B rival’s new $12M store - MySA,Texas grocery race heats up with H-E-B rival’s new $12M store MySA,weather,negative,MySA
NEWS-00119,USR-007,San Antonio,TX,2026-04-09,Would you shop at a massive international supermarket in San Antonio? - WOAI,Would you shop at a massive international supermarket in San Antonio? WOAI,local_news,neutral,WOAI
