sku_id,store_id,category,product_name,description,attributes,brand_type,in_stock,price_tier,unit_price,pack_size,aisle_zone,facings,weekly_units_sold,margin_pct,upc,vendor
SKU-USR-002-001,USR-002,Snacks,Favorite Day Cookie Butter Cookies,Private-label snack — impulse endcap item.,"private_label,premium",private_label,True,premium,81.65,10 oz,Aisle 14 — Impulse / Endcap,3,12,0.218,753144708756,Target DC
SKU-USR-002-002,USR-002,Fresh Produce,Organic Baby Spinach 5oz,Triple washed organic greens — salad ready.,"organic,premium",national,True,premium,10.0,8 oz,Produce Section — Front Perimeter,5,13,0.253,197731664911,Regional Foods LLC
SKU-USR-002-003,USR-002,Snacks,Protein Trail Mix Grab & Go,"Almonds, cashews, dried cranberries — 10g protein per serving.",premium,national,True,premium,15.8,4-pack,Aisle 14 — Impulse / Endcap,4,23,0.184,198889598977,Global Consumer Goods
SKU-USR-002-004,USR-002,Snacks,Classic Potato Chips Family Size,Crispy kettle chips — original sea salt flavor.,value,national,True,value,4.29,1 lb,Aisle 14 — Impulse / Endcap,1,33,0.142,710189977474,Regional Foods LLC
SKU-USR-002-005,USR-002,Fresh Produce,Bananas per lb,Everyday fruit staple — ripen at home.,value,national,True,value,1.85,2-liter,Produce Section — Front Perimeter,2,45,0.144,720871386555,National Brands Co
SKU-USR-002-006,USR-002,Beverages,Cold Brew Coffee Concentrate,Ready-to-drink cold brew — premium arabica beans.,premium,national,True,premium,70.06,2 lb,Aisle 2–3 — Cooler & Shelf,4,16,0.105,152743762737,National Brands Co
SKU-USR-002-007,USR-002,Fresh Produce,Local Seasonal Berry Mix,Farm partnership program — peak season berries.,"seasonal,premium",national,True,premium,17.81,2 lb,Produce Section — Front Perimeter,5,16,0.19,514853814766,National Brands Co
SKU-USR-002-008,USR-002,Grocery,Value White Bread,Soft sandwich bread — family pack at everyday low price.,value,national,True,value,2.22,1 lb,Aisle 4–12 — Center Store,1,37,0.122,886112416842,National Brands Co
SKU-USR-002-009,USR-002,Health & Beauty,Sensitive Skin Moisturizer,Dermatologist tested — fragrance free daily lotion.,premium,national,True,premium,51.71,10 oz,Aisle 18–22 — HBC,1,17,0.216,303670571774,National Brands Co
SKU-USR-002-010,USR-002,Grocery,Organic Whole Grain Bread,Artisan loaf baked daily with organic whole wheat flour.,"organic,premium",regional,True,premium,60.25,10 oz,Aisle 4–12 — Center Store,5,14,0.189,445225671454,National Brands Co
SKU-USR-002-011,USR-002,Household,Paper Towels 8-Roll Pack,Absorbent sheets — store brand savings.,"private_label,value",private_label,True,value,5.99,2-liter,Aisle 15–17 — Household,5,49,0.195,691988294079,Target DC
SKU-USR-002-012,USR-002,Grocery,Gluten-Free Multigrain Loaf,Certified gluten-free bread with seeds and ancient grains.,"gluten_free,premium",national,True,premium,29.82,2 lb,Aisle 4–12 — Center Store,4,20,0.126,269829540747,National Brands Co
SKU-USR-002-013,USR-002,Household,Concentrated Laundry Detergent,HE compatible — 64 load bottle.,value,regional,True,value,11.97,12 oz,Aisle 15–17 — Household,1,45,0.135,661059674745,Regional Foods LLC
SKU-USR-002-014,USR-002,Health & Beauty,Value Shampoo Family Size,Everyday clean formula — large bottle value pack.,value,national,True,value,6.99,2-liter,Aisle 18–22 — HBC,2,66,0.226,373075879840,National Brands Co
SKU-USR-002-015,USR-002,Dairy,Farm Fresh 2% Milk Gallon,Locally sourced milk — vitamin D fortified.,value,regional,True,value,6.25,1 lb,Aisle 1 — Cooler Wall,2,47,0.244,935906784507,Global Consumer Goods
SKU-USR-003-001,USR-003,Frozen,Family Pizza Night 3-Pack,"Frozen pizzas — cheese, pepperoni, veggie variety.",value,national,True,value,10.12,16 oz,Aisle 23–25 — Freezer Bank,1,45,0.117,497288891098,Regional Foods LLC
SKU-USR-003-002,USR-003,Frozen,Premium Ice Cream Pint,Super-premium butterfat — limited edition flavor.,premium,national,True,premium,56.73,4-pack,Aisle 23–25 — Freezer Bank,4,14,0.253,833189636154,Regional Foods LLC
SKU-USR-003-003,USR-003,Grocery,Organic Whole Grain Bread,Artisan loaf baked daily with organic whole wheat flour.,"organic,premium",regional,True,premium,24.29,32 oz,Aisle 4–12 — Center Store,2,23,0.237,643356170005,National Brands Co
SKU-USR-003-004,USR-003,Fresh Produce,Bananas per lb,Everyday fruit staple — ripen at home.,value,national,True,value,7.07,1 gallon,Produce Section — Front Perimeter,1,38,0.098,984981531649,Global Consumer Goods
SKU-USR-003-005,USR-003,Health & Beauty,Sensitive Skin Moisturizer,Dermatologist tested — fragrance free daily lotion.,premium,national,True,premium,52.59,8 oz,Aisle 18–22 — HBC,3,17,0.25,796611755163,National Brands Co
SKU-USR-003-006,USR-003,Dairy,Organic Greek Yogurt 4-Pack,"Thick strained yogurt, live cultures, no artificial sweeteners.","organic,premium",national,True,premium,36.95,32 oz,Aisle 1 — Cooler Wall,2,26,0.085,284693490060,National Brands Co
SKU-USR-003-007,USR-003,Health & Beauty,Value Shampoo Family Size,Everyday clean formula — large bottle value pack.,value,national,True,value,8.09,1 gallon,Aisle 18–22 — HBC,5,49,0.214,846314802269,National Brands Co
SKU-USR-003-008,USR-003,Grocery,Value White Bread,Soft sandwich bread — family pack at everyday low price.,value,national,True,value,3.93,16 oz,Aisle 4–12 — Center Store,2,38,0.093,520656354336,National Brands Co
SKU-USR-003-009,USR-003,Frozen,Frozen Vegetable Stir-Fry Blend,"Broccoli, peppers, snap peas — steam in bag.",value,national,True,value,6.85,12 oz,Aisle 23–25 — Freezer Bank,5,42,0.097,119284269593,Global Consumer Goods
SKU-USR-003-010,USR-003,Snacks,Classic Potato Chips Family Size,Crispy kettle chips — original sea salt flavor.,value,national,True,value,5.28,12 oz,Aisle 14 — Impulse / Endcap,3,42,0.261,447745405734,National Brands Co
SKU-USR-003-011,USR-003,Fresh Produce,Local Seasonal Berry Mix,Farm partnership program — peak season berries.,"seasonal,premium",national,True,premium,33.83,32 oz,Produce Section — Front Perimeter,1,16,0.188,287104499810,Regional Foods LLC
SKU-USR-003-012,USR-003,Fresh Produce,Organic Baby Spinach 5oz,Triple washed organic greens — salad ready.,"organic,premium",national,True,premium,28.83,10 oz,Produce Section — Front Perimeter,4,16,0.18,886563397008,National Brands Co
SKU-USR-003-013,USR-003,Beverages,Cola 2-Liter Bottle,Classic cola — promotional multipack available.,value,national,True,value,6.48,24 ct,Aisle 2–3 — Cooler & Shelf,5,49,0.28,997596166413,Regional Foods LLC
SKU-USR-003-014,USR-003,Dairy,Farm Fresh 2% Milk Gallon,Locally sourced milk — vitamin D fortified.,value,national,True,value,6.08,24 ct,Aisle 1 — Cooler Wall,2,57,0.14,182420669340,Regional Foods LLC
SKU-USR-003-015,USR-003,Household,Paper Towels 8-Roll Pack,Absorbent sheets — store brand savings.,"private_label,value",private_label,True,value,12.39,16 oz,Aisle 15–17 — Household,2,55,0.303,924317769258,Kroger DC
SKU-USR-004-001,USR-004,Frozen,Frozen Vegetable Stir-Fry Blend,"Broccoli, peppers, snap peas — steam in bag.",value,national,True,value,5.58,1 gallon,Aisle 23–25 — Freezer Bank,6,51,0.276,605520280153,National Brands Co
SKU-USR-004-002,USR-004,Household,Eco-Friendly Surface Cleaner,Plant-based spray — safe for kitchen counters.,"organic,premium",national,True,premium,29.13,10 oz,Aisle 15–17 — Household,2,24,0.121,485336221236,Regional Foods LLC
SKU-USR-004-003,USR-004,Grocery,Gluten-Free Multigrain Loaf,Certified gluten-free bread with seeds and ancient grains.,"gluten_free,premium",national,True,premium,41.26,32 oz,Aisle 4–12 — Center Store,3,14,0.203,355715436472,Global Consumer Goods
SKU-USR-004-004,USR-004,Dairy,Organic Greek Yogurt 4-Pack,"Thick strained yogurt, live cultures, no artificial sweeteners.","organic,premium",national,True,premium,41.16,2 lb,Aisle 1 — Cooler Wall,7,14,0.273,899422670289,Regional Foods LLC
SKU-USR-004-005,USR-004,Fresh Produce,Bananas per lb,Everyday fruit staple — ripen at home.,value,national,True,value,8.08,1 gallon,Produce Section — Front Perimeter,3,37,0.251,903794254051,Regional Foods LLC
SKU-USR-004-006,USR-004,Grocery,Organic Whole Grain Bread,Artisan loaf baked daily with organic whole wheat flour.,"organic,premium",national,True,premium,17.0,6-pack,Aisle 4–12 — Center Store,2,18,0.246,888784408265,Global Consumer Goods
SKU-USR-004-007,USR-004,Health & Beauty,Sensitive Skin Moisturizer,Dermatologist tested — fragrance free daily lotion.,premium,national,True,premium,60.78,8 oz,Aisle 18–22 — HBC,3,13,0.106,168021784064,Regional Foods LLC
SKU-USR-004-008,USR-004,Fresh Produce,Rotisserie Chicken,Fresh prepared protein — member favorite.,value,regional,True,value,4.14,1 gallon,Produce Section — Front Perimeter,7,38,0.265,847845229861,Regional Foods LLC
SKU-USR-004-009,USR-004,Snacks,Store Brand Tortilla Chips,Restaurant style chips — great for parties.,"private_label,value",private_label,True,value,4.3,24 ct,Aisle 14 — Impulse / Endcap,4,31,0.181,499791435082,Costco DC
SKU-USR-004-010,USR-004,Dairy,Farm Fresh 2% Milk Gallon,Locally sourced milk — vitamin D fortified.,value,regional,True,value,3.42,1 lb,Aisle 1 — Cooler Wall,7,52,0.103,288547612871,Global Consumer Goods
SKU-USR-004-011,USR-004,Frozen,Family Pizza Night 3-Pack,"Frozen pizzas — cheese, pepperoni, veggie variety.",value,national,True,value,4.5,24 ct,Aisle 23–25 — Freezer Bank,3,43,0.171,833030284702,Global Consumer Goods
SKU-USR-004-012,USR-004,Fresh Produce,Local Seasonal Berry Mix,Farm partnership program — peak season berries.,"seasonal,premium",national,True,premium,50.36,4-pack,Produce Section — Front Perimeter,4,15,0.158,920232734605,Global Consumer Goods
SKU-USR-004-013,USR-004,Beverages,Cold Brew Coffee Concentrate,Ready-to-drink cold brew — premium arabica beans.,premium,national,True,premium,69.74,4-pack,Aisle 2–3 — Cooler & Shelf,5,18,0.257,909865506542,Regional Foods LLC
SKU-USR-004-014,USR-004,Health & Beauty,Value Shampoo Family Size,Everyday clean formula — large bottle value pack.,value,regional,True,value,9.82,1 lb,Aisle 18–22 — HBC,3,39,0.094,254440793213,National Brands Co
SKU-USR-004-015,USR-004,Beverages,Cola 2-Liter Bottle,Classic cola — promotional multipack available.,value,national,True,value,8.23,1 lb,Aisle 2–3 — Cooler & Shelf,5,37,0.153,632740232095,Global Consumer Goods
SKU-USR-004-016,USR-004,Frozen,Premium Ice Cream Pint,Super-premium butterfat — limited edition flavor.,premium,national,True,premium,21.85,2 lb,Aisle 23–25 — Freezer Bank,2,16,0.27,225766906082,National Brands Co
SKU-USR-004-017,USR-004,Grocery,Executive Membership Renewal,Annual membership fee SKU — loyalty driver.,premium,national,True,premium,49.61,2 lb,Aisle 4–12 — Center Store,2,22,0.278,355663577817,Global Consumer Goods
SKU-USR-004-018,USR-004,Dairy,Plant-Based Oat Milk,Barista blend oat milk — dairy-free alternative.,"premium,plant_based",regional,True,premium,49.6,2 lb,Aisle 1 — Cooler Wall,7,18,0.239,633794887218,Global Consumer Goods
SKU-USR-005-001,USR-005,Beverages,Sparkling Water 12-Pack,Zero calorie flavored seltzer — variety pack.,premium,national,True,premium,75.83,10 oz,Aisle 2–3 — Cooler & Shelf,5,17,0.121,721093472491,Global Consumer Goods
SKU-USR-005-002,USR-005,Dairy,Farm Fresh 2% Milk Gallon,Locally sourced milk — vitamin D fortified.,value,national,True,value,3.83,24 ct,Aisle 1 — Cooler Wall,2,43,0.143,171699188600,Global Consumer Goods
SKU-USR-005-003,USR-005,Snacks,Store Brand Tortilla Chips,Restaurant style chips — great for parties.,"private_label,value",private_label,True,value,8.45,16 oz,Aisle 14 — Impulse / Endcap,2,43,0.389,692560913535,Albertsons DC
SKU-USR-005-004,USR-005,Snacks,Protein Trail Mix Grab & Go,"Almonds, cashews, dried cranberries — 10g protein per serving.",premium,national,True,premium,26.04,4-pack,Aisle 14 — Impulse / Endcap,4,22,0.267,809479181530,Regional Foods LLC
SKU-USR-005-005,USR-005,Household,Eco-Friendly Surface Cleaner,Plant-based spray — safe for kitchen counters.,"organic,premium",national,True,premium,11.48,8 oz,Aisle 15–17 — Household,2,23,0.244,416450375136,Regional Foods LLC
SKU-USR-005-006,USR-005,Health & Beauty,Organic Lip Balm 3-Pack,Beeswax and coconut oil — USDA organic.,"organic,premium",national,True,premium,45.94,10 oz,Aisle 18–22 — HBC,1,13,0.082,158975596421,National Brands Co
SKU-USR-005-007,USR-005,Household,Paper Towels 8-Roll Pack,Absorbent sheets — store brand savings.,"private_label,value",private_label,True,value,3.96,12 oz,Aisle 15–17 — Household,4,48,0.328,222012720012,Albertsons DC
SKU-USR-005-008,USR-005,Health & Beauty,Value Shampoo Family Size,Everyday clean formula — large bottle value pack.,value,national,True,value,5.98,12 oz,Aisle 18–22 — HBC,2,50,0.175,381441236666,National Brands Co
SKU-USR-005-009,USR-005,Beverages,Cola 2-Liter Bottle,Classic cola — promotional multipack available.,value,national,True,value,2.65,2-liter,Aisle 2–3 — Cooler & Shelf,5,35,0.209,248839900655,National Brands Co
SKU-USR-005-010,USR-005,Frozen,Premium Ice Cream Pint,Super-premium butterfat — limited edition flavor.,premium,national,True,premium,62.97,6-pack,Aisle 23–25 — Freezer Bank,1,13,0.207,561471479910,Regional Foods LLC
SKU-USR-005-011,USR-005,Frozen,Family Pizza Night 3-Pack,"Frozen pizzas — cheese, pepperoni, veggie variety.",value,national,True,value,11.42,2-liter,Aisle 23–25 — Freezer Bank,4,38,0.274,652866765381,Regional Foods LLC
SKU-USR-005-012,USR-005,Dairy,Organic Greek Yogurt 4-Pack,"Thick strained yogurt, live cultures, no artificial sweeteners.","organic,premium",national,True,premium,9.45,6-pack,Aisle 1 — Cooler Wall,1,15,0.259,900007295060,National Brands Co
SKU-USR-005-013,USR-005,Grocery,Organic Whole Grain Bread,Artisan loaf baked daily with organic whole wheat flour.,"organic,premium",national,True,premium,39.11,32 oz,Aisle 4–12 — Center Store,1,21,0.134,458272185691,Global Consumer Goods
SKU-USR-005-014,USR-005,Dairy,Plant-Based Oat Milk,Barista blend oat milk — dairy-free alternative.,"premium,plant_based",national,True,premium,22.8,8 oz,Aisle 1 — Cooler Wall,2,18,0.133,276912879943,Regional Foods LLC
SKU-USR-005-015,USR-005,Beverages,Cold Brew Coffee Concentrate,Ready-to-drink cold brew — premium arabica beans.,premium,national,True,premium,9.12,32 oz,Aisle 2–3 — Cooler & Shelf,5,17,0.113,910514308344,Regional Foods LLC
SKU-USR-005-016,USR-005,Fresh Produce,Organic Baby Spinach 5oz,Triple washed organic greens — salad ready.,"organic,premium",national,True,premium,48.36,8 oz,Produce Section — Front Perimeter,3,13,0.266,997315475157,National Brands Co
SKU-USR-006-001,USR-006,Grocery,Organic Whole Grain Bread,Artisan loaf baked daily with organic whole wheat flour.,"organic,premium",national,True,premium,54.62,8 oz,Aisle 4–12 — Center Store,1,20,0.19,168835246768,Regional Foods LLC
SKU-USR-006-002,USR-006,Snacks,Protein Trail Mix Grab & Go,"Almonds, cashews, dried cranberries — 10g protein per serving.",premium,national,True,premium,45.47,2 lb,Aisle 14 — Impulse / Endcap,4,18,0.217,885079430102,Global Consumer Goods
SKU-USR-006-003,USR-006,Fresh Produce,Local Seasonal Berry Mix,Farm partnership program — peak season berries.,"seasonal,premium",national,True,premium,10.81,32 oz,Produce Section — Front Perimeter,4,18,0.185,512911597070,Global Consumer Goods
SKU-USR-006-004,USR-006,Frozen,Family Pizza Night 3-Pack,"Frozen pizzas — cheese, pepperoni, veggie variety.",value,national,True,value,2.11,1 gallon,Aisle 23–25 — Freezer Bank,1,40,0.137,254463205821,Regional Foods LLC
SKU-USR-006-005,USR-006,Grocery,Value White Bread,Soft sandwich bread — family pack at everyday low price.,value,national,True,value,7.92,24 ct,Aisle 4–12 — Center Store,5,46,0.087,820150307212,Global Consumer Goods
SKU-USR-006-006,USR-006,Frozen,Frozen Vegetable Stir-Fry Blend,"Broccoli, peppers, snap peas — steam in bag.",value,national,True,value,3.01,24 ct,Aisle 23–25 — Freezer Bank,5,51,0.168,966484305967,National Brands Co
SKU-USR-006-007,USR-006,Beverages,Cold Brew Coffee Concentrate,Ready-to-drink cold brew — premium arabica beans.,premium,national,True,premium,17.38,10 oz,Aisle 2–3 — Cooler & Shelf,5,22,0.272,189439770439,National Brands Co
SKU-USR-006-008,USR-006,Fresh Produce,Bananas per lb,Everyday fruit staple — ripen at home.,value,national,True,value,4.29,16 oz,Produce Section — Front Perimeter,3,33,0.192,207460661075,Regional Foods LLC
SKU-USR-006-009,USR-006,Household,Concentrated Laundry Detergent,HE compatible — 64 load bottle.,value,regional,True,value,8.81,1 lb,Aisle 15–17 — Household,4,58,0.127,858216655439,Global Consumer Goods
SKU-USR-006-010,USR-006,Fresh Produce,Organic Baby Spinach 5oz,Triple washed organic greens — salad ready.,"organic,premium",national,True,premium,70.43,10 oz,Produce Section — Front Perimeter,3,10,0.101,769605935039,Regional Foods LLC
SKU-USR-006-011,USR-006,Health & Beauty,Organic Lip Balm 3-Pack,Beeswax and coconut oil — USDA organic.,"organic,premium",regional,True,premium,14.81,10 oz,Aisle 18–22 — HBC,4,18,0.175,573415683965,National Brands Co
SKU-USR-006-012,USR-006,Beverages,Sparkling Water 12-Pack,Zero calorie flavored seltzer — variety pack.,premium,national,True,premium,25.06,6-pack,Aisle 2–3 — Cooler & Shelf,2,15,0.197,427064519079,Regional Foods LLC
SKU-USR-006-013,USR-006,Snacks,Classic Potato Chips Family Size,Crispy kettle chips — original sea salt flavor.,value,national,True,value,9.54,1 gallon,Aisle 14 — Impulse / Endcap,5,47,0.132,759606293590,National Brands Co
SKU-USR-006-014,USR-006,Dairy,Organic Greek Yogurt 4-Pack,"Thick strained yogurt, live cultures, no artificial sweeteners.","organic,premium",national,True,premium,56.52,2 lb,Aisle 1 — Cooler Wall,1,23,0.105,671485437556,Regional Foods LLC
SKU-USR-006-015,USR-006,Snacks,Store Brand Tortilla Chips,Restaurant style chips — great for parties.,"private_label,value",private_label,True,value,11.4,1 gallon,Aisle 14 — Impulse / Endcap,1,46,0.181,358931300508,Publix DC
SKU-USR-006-016,USR-006,Frozen,Premium Ice Cream Pint,Super-premium butterfat — limited edition flavor.,premium,regional,True,premium,43.44,4-pack,Aisle 23–25 — Freezer Bank,5,24,0.28,102836740317,Regional Foods LLC
SKU-USR-007-001,USR-007,Beverages,Sparkling Water 12-Pack,Zero calorie flavored seltzer — variety pack.,premium,national,True,premium,19.77,6-pack,Aisle 2–3 — Cooler & Shelf,3,11,0.136,240435942634,National Brands Co
SKU-USR-007-002,USR-007,Frozen,Frozen Vegetable Stir-Fry Blend,"Broccoli, peppers, snap peas — steam in bag.",value,national,True,value,8.75,1 gallon,Aisle 23–25 — Freezer Bank,3,42,0.267,454569815404,Global Consumer Goods
SKU-USR-007-003,USR-007,Grocery,Gluten-Free Multigrain Loaf,Certified gluten-free bread with seeds and ancient grains.,"gluten_free,premium",national,True,premium,52.53,6-pack,Aisle 4–12 — Center Store,2,18,0.192,764610667512,National Brands Co
SKU-USR-007-004,USR-007,Fresh Produce,Wild-Caught Sockeye Salmon Fillet,Sustainable seafood — seafood counter.,"organic,premium",national,True,premium,26.52,8 oz,Produce Section — Front Perimeter,1,12,0.178,360659835361,National Brands Co
SKU-USR-007-005,USR-007,Beverages,Cola 2-Liter Bottle,Classic cola — promotional multipack available.,value,national,True,value,3.27,1 gallon,Aisle 2–3 — Cooler & Shelf,2,54,0.12,931521387440,Global Consumer Goods
SKU-USR-007-006,USR-007,Dairy,Organic Greek Yogurt 4-Pack,"Thick strained yogurt, live cultures, no artificial sweeteners.","organic,premium",national,True,premium,32.01,4-pack,Aisle 1 — Cooler Wall,3,13,0.198,258515767132,Regional Foods LLC
SKU-USR-007-007,USR-007,Household,Concentrated Laundry Detergent,HE compatible — 64 load bottle.,value,national,True,value,5.03,1 gallon,Aisle 15–17 — Household,1,40,0.264,514341936631,Regional Foods LLC
SKU-USR-007-008,USR-007,Dairy,Plant-Based Oat Milk,Barista blend oat milk — dairy-free alternative.,"premium,plant_based",national,True,premium,56.42,6-pack,Aisle 1 — Cooler Wall,2,14,0.12,584841490816,Regional Foods LLC
SKU-USR-007-009,USR-007,Health & Beauty,Value Shampoo Family Size,Everyday clean formula — large bottle value pack.,value,national,True,value,9.89,12 oz,Aisle 18–22 — HBC,2,43,0.127,774264686861,Regional Foods LLC
SKU-USR-007-010,USR-007,Grocery,365 Organic Almond Butter,House brand nut butter — clean ingredients.,"organic,premium,private_label",private_label,True,premium,73.5,10 oz,Aisle 4–12 — Center Store,3,21,0.37,280295986510,Whole Foods DC
SKU-USR-007-011,USR-007,Household,Eco-Friendly Surface Cleaner,Plant-based spray — safe for kitchen counters.,"organic,premium",national,True,premium,81.78,2 lb,Aisle 15–17 — Household,4,15,0.219,281276615617,National Brands Co
SKU-USR-007-012,USR-007,Snacks,Store Brand Tortilla Chips,Restaurant style chips — great for parties.,"private_label,value",private_label,True,value,8.6,1 lb,Aisle 14 — Impulse / Endcap,4,54,0.247,427155775918,Whole Foods DC
SKU-USR-007-013,USR-007,Fresh Produce,Bananas per lb,Everyday fruit staple — ripen at home.,value,national,True,value,2.03,16 oz,Produce Section — Front Perimeter,4,58,0.154,329686321636,National Brands Co
SKU-USR-007-014,USR-007,Household,Paper Towels 8-Roll Pack,Absorbent sheets — store brand savings.,"private_label,value",private_label,True,value,9.85,1 gallon,Aisle 15–17 — Household,2,45,0.157,238369622024,Whole Foods DC
SKU-USR-007-015,USR-007,Fresh Produce,Local Seasonal Berry Mix,Farm partnership program — peak season berries.,"seasonal,premium",national,True,premium,79.82,8 oz,Produce Section — Front Perimeter,2,20,0.232,909799689794,National Brands Co
SKU-USR-007-016,USR-007,Frozen,Family Pizza Night 3-Pack,"Frozen pizzas — cheese, pepperoni, veggie variety.",value,national,True,value,3.26,1 gallon,Aisle 23–25 — Freezer Bank,3,47,0.125,322852592530,National Brands Co
SKU-USR-007-017,USR-007,Grocery,Organic Whole Grain Bread,Artisan loaf baked daily with organic whole wheat flour.,"organic,premium",national,True,premium,59.81,4-pack,Aisle 4–12 — Center Store,1,29,0.202,596927625696,Global Consumer Goods
SKU-USR-008-001,USR-008,Household,Paper Towels 8-Roll Pack,Absorbent sheets — store brand savings.,"private_label,value",private_label,True,value,8.27,24 ct,Aisle 15–17 — Household,3,40,0.178,748659683431,CVS DC
SKU-USR-008-002,USR-008,Snacks,Classic Potato Chips Family Size,Crispy kettle chips — original sea salt flavor.,value,national,True,value,9.01,12 oz,Aisle 14 — Impulse / Endcap,3,41,0.132,450322951117,Regional Foods LLC
SKU-USR-008-003,USR-008,Household,Concentrated Laundry Detergent,HE compatible — 64 load bottle.,value,national,True,value,7.45,16 oz,Aisle 15–17 — Household,4,50,0.081,390137121135,Global Consumer Goods
SKU-USR-008-004,USR-008,Fresh Produce,Organic Baby Spinach 5oz,Triple washed organic greens — salad ready.,"organic,premium",national,True,premium,88.16,4-pack,Produce Section — Front Perimeter,3,14,0.272,730394168759,Regional Foods LLC
SKU-USR-008-005,USR-008,Snacks,Store Brand Tortilla Chips,Restaurant style chips — great for parties.,"private_label,value",private_label,True,value,10.91,12 oz,Aisle 14 — Impulse / Endcap,3,31,0.185,851896627268,CVS DC
SKU-USR-008-006,USR-008,Fresh Produce,Bananas per lb,Everyday fruit staple — ripen at home.,value,national,True,value,12.36,24 ct,Produce Section — Front Perimeter,1,48,0.118,491838875832,Global Consumer Goods
SKU-USR-008-007,USR-008,Snacks,Gold Emblem Abound Protein Bar,Private-label snack — checkout lane.,"private_label,premium",private_label,True,premium,49.68,10 oz,Aisle 14 — Impulse / Endcap,1,16,0.209,491341695524,CVS DC
SKU-USR-008-008,USR-008,Beverages,Sparkling Water 12-Pack,Zero calorie flavored seltzer — variety pack.,premium,national,True,premium,40.69,8 oz,Aisle 2–3 — Cooler & Shelf,3,19,0.24,211755403927,Global Consumer Goods
SKU-USR-008-009,USR-008,Dairy,Farm Fresh 2% Milk Gallon,Locally sourced milk — vitamin D fortified.,value,national,True,value,6.52,16 oz,Aisle 1 — Cooler Wall,5,45,0.257,112764751274,Regional Foods LLC
SKU-USR-008-010,USR-008,Dairy,Organic Greek Yogurt 4-Pack,"Thick strained yogurt, live cultures, no artificial sweeteners.","organic,premium",national,True,premium,65.74,2 lb,Aisle 1 — Cooler Wall,4,24,0.218,560717739462,Global Consumer Goods
SKU-USR-008-011,USR-008,Snacks,Protein Trail Mix Grab & Go,"Almonds, cashews, dried cranberries — 10g protein per serving.",premium,national,True,premium,67.05,4-pack,Aisle 14 — Impulse / Endcap,2,20,0.213,986721184646,Global Consumer Goods
SKU-USR-008-012,USR-008,Beverages,Cola 2-Liter Bottle,Classic cola — promotional multipack available.,value,national,True,value,7.25,24 ct,Aisle 2–3 — Cooler & Shelf,3,40,0.149,704661338412,National Brands Co
