store_id,week_end_date,labor_hours,shrink_pct,oos_rate,fulfillment_rate,customer_complaints,ops_row_id,embedding_model,embedding_dim
USR-001,2026-03-15,3140.0,0.0186,0.0768,0.945,1,USR-001_2026-03-15,text-embedding-3-large,3072
USR-001,2026-03-22,3147.2,0.0194,0.0966,0.931,1,USR-001_2026-03-22,text-embedding-3-large,3072
USR-001,2026-03-29,3201.1,0.0229,0.0599,0.929,1,USR-001_2026-03-29,text-embedding-3-large,3072
USR-001,2026-04-05,3673.9,0.0228,0.0743,0.977,0,USR-001_2026-04-05,text-embedding-3-large,3072
USR-001,2026-04-12,3103.0,0.0201,0.0671,0.979,2,USR-001_2026-04-12,text-embedding-3-large,3072
USR-001,2026-04-19,3278.6,0.0227,0.0666,0.978,0,USR-001_2026-04-19,text-embedding-3-large,3072
USR-001,2026-04-26,3675.7,0.0227,0.0776,0.904,4,USR-001_2026-04-26,text-embedding-3-large,3072
USR-001,2026-05-03,3043.4,0.0167,0.0778,0.941,0,USR-001_2026-05-03,text-embedding-3-large,3072
USR-001,2026-05-10,3453.4,0.0251,0.0464,0.85,0,USR-001_2026-05-10,text-embedding-3-large,3072
USR-001,2026-05-17,2892.2,0.0249,0.0741,0.939,0,USR-001_2026-05-17,text-embedding-3-large,3072
USR-001,2026-05-24,2946.2,0.0217,0.0678,0.95,0,USR-001_2026-05-24,text-embedding-3-large,3072
USR-001,2026-05-31,3153.8,0.0237,0.0886,0.917,1,USR-001_2026-05-31,text-embedding-3-large,3072
USR-001,2026-06-07,3027.1,0.0175,0.0761,0.984,0,USR-001_2026-06-07,text-embedding-3-large,3072
USR-001,2026-06-14,3148.7,0.0203,0.0724,0.917,1,USR-001_2026-06-14,text-embedding-3-large,3072
USR-001,2026-06-21,3439.0,0.0236,0.0715,0.906,1,USR-001_2026-06-21,text-embedding-3-large,3072
USR-002,2025-06-29,1993.0,0.0169,0.0557,0.928,3,USR-002_2025-06-29,text-embedding-3-large,3072
USR-002,2025-07-06,1812.7,0.0171,0.0384,0.957,3,USR-002_2025-07-06,text-embedding-3-large,3072
USR-002,2025-07-13,1751.4,0.0145,0.0406,0.92,5,USR-002_2025-07-13,text-embedding-3-large,3072
USR-002,2025-07-20,1919.5,0.0205,0.0438,0.949,3,USR-002_2025-07-20,text-embedding-3-large,3072
USR-002,2025-07-27,1882.2,0.0201,0.0394,0.973,4,USR-002_2025-07-27,text-embedding-3-large,3072
USR-002,2025-08-03,1843.5,0.015,0.0443,0.918,3,USR-002_2025-08-03,text-embedding-3-large,3072
USR-002,2025-08-10,1925.0,0.0168,0.038,0.921,5,USR-002_2025-08-10,text-embedding-3-large,3072
USR-002,2025-08-17,1980.2,0.0178,0.0357,0.901,2,USR-002_2025-08-17,text-embedding-3-large,3072
USR-002,2025-08-24,1975.9,0.0144,0.0311,0.903,3,USR-002_2025-08-24,text-embedding-3-large,3072
USR-002,2025-08-31,1717.2,0.0173,0.0351,0.958,1,USR-002_2025-08-31,text-embedding-3-large,3072
USR-002,2025-09-07,1742.7,0.0155,0.0427,0.953,2,USR-002_2025-09-07,text-embedding-3-large,3072
USR-002,2025-09-14,2023.4,0.0161,0.0401,0.928,1,USR-002_2025-09-14,text-embedding-3-large,3072
USR-002,2025-09-21,1861.6,0.0203,0.0478,0.896,1,USR-002_2025-09-21,text-embedding-3-large,3072
USR-002,2025-09-28,1649.6,0.0207,0.0458,0.941,2,USR-002_2025-09-28,text-embedding-3-large,3072
USR-002,2025-10-05,1689.2,0.0174,0.0405,0.979,4,USR-002_2025-10-05,text-embedding-3-large,3072
USR-002,2025-10-12,1720.5,0.0202,0.0365,0.99,6,USR-002_2025-10-12,text-embedding-3-large,3072
USR-002,2025-10-19,1754.1,0.0177,0.0403,0.887,3,USR-002_2025-10-19,text-embedding-3-large,3072
USR-002,2025-10-26,1868.1,0.0134,0.0371,0.956,2,USR-002_2025-10-26,text-embedding-3-large,3072
USR-002,2025-11-02,1643.9,0.0188,0.0352,0.873,2,USR-002_2025-11-02,text-embedding-3-large,3072
USR-002,2025-11-09,1884.1,0.0204,0.039,0.915,4,USR-002_2025-11-09,text-embedding-3-large,3072
USR-002,2025-11-16,1738.3,0.0222,0.0372,0.94,2,USR-002_2025-11-16,text-embedding-3-large,3072
USR-002,2025-11-23,1878.8,0.0233,0.0489,0.927,4,USR-002_2025-11-23,text-embedding-3-large,3072
USR-002,2025-11-30,1685.6,0.0184,0.0374,0.978,2,USR-002_2025-11-30,text-embedding-3-large,3072
USR-002,2025-12-07,1777.2,0.0161,0.0421,0.917,4,USR-002_2025-12-07,text-embedding-3-large,3072
USR-002,2025-12-14,1835.2,0.0141,0.0449,0.934,4,USR-002_2025-12-14,text-embedding-3-large,3072
USR-002,2025-12-21,1731.0,0.0185,0.0494,0.862,7,USR-002_2025-12-21,text-embedding-3-large,3072
USR-002,2025-12-28,1524.6,0.0188,0.0419,0.899,3,USR-002_2025-12-28,text-embedding-3-large,3072
USR-002,2026-01-04,1889.0,0.018,0.0511,0.941,5,USR-002_2026-01-04,text-embedding-3-large,3072
USR-002,2026-01-11,1833.9,0.0204,0.0446,0.929,4,USR-002_2026-01-11,text-embedding-3-large,3072
USR-002,2026-01-18,1663.7,0.021,0.044,0.917,2,USR-002_2026-01-18,text-embedding-3-large,3072
USR-002,2026-01-25,1593.7,0.0169,0.0427,0.99,5,USR-002_2026-01-25,text-embedding-3-large,3072
USR-002,2026-02-01,1881.7,0.015,0.0425,0.921,4,USR-002_2026-02-01,text-embedding-3-large,3072
USR-002,2026-02-08,1662.5,0.019,0.0204,0.91,5,USR-002_2026-02-08,text-embedding-3-large,3072
USR-002,2026-02-15,1994.3,0.019,0.0325,0.925,2,USR-002_2026-02-15,text-embedding-3-large,3072
USR-002,2026-02-22,1629.9,0.0174,0.0241,0.914,4,USR-002_2026-02-22,text-embedding-3-large,3072
USR-002,2026-03-01,1645.6,0.0173,0.0386,0.939,1,USR-002_2026-03-01,text-embedding-3-large,3072
USR-002,2026-03-08,1569.5,0.0159,0.0356,0.896,3,USR-002_2026-03-08,text-embedding-3-large,3072
USR-002,2026-03-15,1790.0,0.0174,0.0332,0.936,5,USR-002_2026-03-15,text-embedding-3-large,3072
USR-002,2026-03-22,1961.5,0.0212,0.0492,0.99,2,USR-002_2026-03-22,text-embedding-3-large,3072
USR-002,2026-03-29,1642.1,0.0196,0.0445,0.901,2,USR-002_2026-03-29,text-embedding-3-large,3072
USR-002,2026-04-05,1792.9,0.0143,0.0433,0.95,3,USR-002_2026-04-05,text-embedding-3-large,3072
USR-002,2026-04-12,1767.4,0.018,0.0317,0.914,0,USR-002_2026-04-12,text-embedding-3-large,3072
USR-002,2026-04-19,1898.8,0.0213,0.0495,0.924,0,USR-002_2026-04-19,text-embedding-3-large,3072
USR-002,2026-04-26,1688.8,0.0142,0.0452,0.893,4,USR-002_2026-04-26,text-embedding-3-large,3072
USR-002,2026-05-03,1852.5,0.0158,0.039,0.933,2,USR-002_2026-05-03,text-embedding-3-large,3072
USR-002,2026-05-10,1827.1,0.016,0.0429,0.952,4,USR-002_2026-05-10,text-embedding-3-large,3072
USR-002,2026-05-17,1793.2,0.0206,0.0385,0.904,2,USR-002_2026-05-17,text-embedding-3-large,3072
USR-002,2026-05-24,1671.9,0.0162,0.0373,0.926,1,USR-002_2026-05-24,text-embedding-3-large,3072
USR-002,2026-05-31,1765.1,0.0207,0.0354,0.918,2,USR-002_2026-05-31,text-embedding-3-large,3072
USR-002,2026-06-07,1833.1,0.0165,0.0385,0.99,2,USR-002_2026-06-07,text-embedding-3-large,3072
USR-002,2026-06-14,1664.7,0.0145,0.0256,0.946,2,USR-002_2026-06-14,text-embedding-3-large,3072
USR-002,2026-06-21,1872.8,0.02,0.0398,0.962,3,USR-002_2026-06-21,text-embedding-3-large,3072
USR-003,2025-06-29,1098.3,0.0233,0.0762,0.974,0,USR-003_2025-06-29,text-embedding-3-large,3072
USR-003,2025-07-06,931.3,0.0237,0.0628,0.963,0,USR-003_2025-07-06,text-embedding-3-large,3072
USR-003,2025-07-13,914.0,0.0262,0.0438,0.911,1,USR-003_2025-07-13,text-embedding-3-large,3072
USR-003,2025-07-20,1057.7,0.0263,0.0487,0.951,1,USR-003_2025-07-20,text-embedding-3-large,3072
USR-003,2025-07-27,1064.8,0.0248,0.0751,0.902,0,USR-003_2025-07-27,text-embedding-3-large,3072
USR-003,2025-08-03,1028.0,0.0201,0.0612,0.932,2,USR-003_2025-08-03,text-embedding-3-large,3072
USR-003,2025-08-10,1074.8,0.0228,0.0726,0.952,1,USR-003_2025-08-10,text-embedding-3-large,3072
USR-003,2025-08-17,1147.2,0.0239,0.0617,0.939,0,USR-003_2025-08-17,text-embedding-3-large,3072
USR-003,2025-08-24,900.4,0.0286,0.076,0.986,1,USR-003_2025-08-24,text-embedding-3-large,3072
USR-003,2025-08-31,951.6,0.0243,0.0557,0.891,2,USR-003_2025-08-31,text-embedding-3-large,3072
USR-003,2025-09-07,1026.9,0.0214,0.0475,0.911,2,USR-003_2025-09-07,text-embedding-3-large,3072
USR-003,2025-09-14,1058.7,0.0224,0.0549,0.99,0,USR-003_2025-09-14,text-embedding-3-large,3072
USR-003,2025-09-21,979.3,0.0265,0.0497,0.986,0,USR-003_2025-09-21,text-embedding-3-large,3072
USR-003,2025-09-28,1061.3,0.0149,0.0624,0.961,1,USR-003_2025-09-28,text-embedding-3-large,3072
USR-003,2025-10-05,970.3,0.0225,0.0702,0.942,1,USR-003_2025-10-05,text-embedding-3-large,3072
USR-003,2025-10-12,1020.1,0.0223,0.0504,0.935,3,USR-003_2025-10-12,text-embedding-3-large,3072
USR-003,2025-10-19,1081.5,0.0229,0.049,0.99,1,USR-003_2025-10-19,text-embedding-3-large,3072
USR-003,2025-10-26,1054.9,0.0206,0.0616,0.949,1,USR-003_2025-10-26,text-embedding-3-large,3072
USR-003,2025-11-02,1066.8,0.025,0.0416,0.931,1,USR-003_2025-11-02,text-embedding-3-large,3072
USR-003,2025-11-09,1065.0,0.0255,0.0499,0.962,1,USR-003_2025-11-09,text-embedding-3-large,3072
USR-003,2025-11-16,996.1,0.0246,0.0665,0.929,2,USR-003_2025-11-16,text-embedding-3-large,3072
USR-003,2025-11-23,1018.9,0.0227,0.051,0.99,0,USR-003_2025-11-23,text-embedding-3-large,3072
USR-003,2025-11-30,1069.7,0.0198,0.0587,0.931,1,USR-003_2025-11-30,text-embedding-3-large,3072
USR-003,2025-12-07,1012.0,0.0259,0.0618,0.956,3,USR-003_2025-12-07,text-embedding-3-large,3072
USR-003,2025-12-14,1020.5,0.0283,0.0583,0.943,1,USR-003_2025-12-14,text-embedding-3-large,3072
USR-003,2025-12-21,945.0,0.0219,0.0583,0.988,2,USR-003_2025-12-21,text-embedding-3-large,3072
USR-003,2025-12-28,1059.9,0.0226,0.0373,0.948,0,USR-003_2025-12-28,text-embedding-3-large,3072
USR-003,2026-01-04,1044.9,0.0248,0.0528,0.934,0,USR-003_2026-01-04,text-embedding-3-large,3072
USR-003,2026-01-11,1005.0,0.0251,0.0642,0.915,3,USR-003_2026-01-11,text-embedding-3-large,3072
USR-003,2026-01-18,1077.5,0.0281,0.0596,0.931,1,USR-003_2026-01-18,text-embedding-3-large,3072
USR-003,2026-01-25,1071.7,0.0264,0.0681,0.92,0,USR-003_2026-01-25,text-embedding-3-large,3072
USR-003,2026-02-01,1060.8,0.0239,0.0771,0.876,0,USR-003_2026-02-01,text-embedding-3-large,3072
USR-003,2026-02-08,1001.9,0.0242,0.0608,0.936,1,USR-003_2026-02-08,text-embedding-3-large,3072
USR-003,2026-02-15,932.5,0.0261,0.066,0.906,0,USR-003_2026-02-15,text-embedding-3-large,3072
USR-003,2026-02-22,1018.3,0.0253,0.0606,0.915,0,USR-003_2026-02-22,text-embedding-3-large,3072
USR-003,2026-03-01,906.8,0.0286,0.0525,0.918,0,USR-003_2026-03-01,text-embedding-3-large,3072
USR-003,2026-03-08,1014.8,0.0264,0.0777,0.963,2,USR-003_2026-03-08,text-embedding-3-large,3072
USR-003,2026-03-15,952.5,0.0247,0.0336,0.917,0,USR-003_2026-03-15,text-embedding-3-large,3072
USR-003,2026-03-22,955.4,0.026,0.0673,0.878,1,USR-003_2026-03-22,text-embedding-3-large,3072
USR-003,2026-03-29,1032.1,0.0255,0.0564,0.943,1,USR-003_2026-03-29,text-embedding-3-large,3072
USR-003,2026-04-05,1031.4,0.0268,0.0591,0.934,0,USR-003_2026-04-05,text-embedding-3-large,3072
USR-003,2026-04-12,982.8,0.0232,0.0478,0.939,0,USR-003_2026-04-12,text-embedding-3-large,3072
USR-003,2026-04-19,1037.4,0.0291,0.0685,0.927,0,USR-003_2026-04-19,text-embedding-3-large,3072
USR-003,2026-04-26,1017.4,0.0217,0.0655,0.976,1,USR-003_2026-04-26,text-embedding-3-large,3072
USR-003,2026-05-03,958.1,0.0232,0.0659,0.95,0,USR-003_2026-05-03,text-embedding-3-large,3072
USR-003,2026-05-10,986.7,0.0164,0.0688,0.964,1,USR-003_2026-05-10,text-embedding-3-large,3072
USR-003,2026-05-17,1075.0,0.0227,0.047,0.92,2,USR-003_2026-05-17,text-embedding-3-large,3072
USR-003,2026-05-24,1078.3,0.0221,0.0608,0.96,0,USR-003_2026-05-24,text-embedding-3-large,3072
USR-003,2026-05-31,993.9,0.022,0.0456,0.956,2,USR-003_2026-05-31,text-embedding-3-large,3072
USR-003,2026-06-07,960.4,0.0278,0.0421,0.947,0,USR-003_2026-06-07,text-embedding-3-large,3072
USR-003,2026-06-14,935.2,0.027,0.0741,0.927,1,USR-003_2026-06-14,text-embedding-3-large,3072
USR-003,2026-06-21,997.9,0.0298,0.0499,0.913,1,USR-003_2026-06-21,text-embedding-3-large,3072
USR-004,2025-06-29,2897.2,0.0149,0.029,0.972,0,USR-004_2025-06-29,text-embedding-3-large,3072
USR-004,2025-07-06,3171.5,0.014,0.025,0.965,1,USR-004_2025-07-06,text-embedding-3-large,3072
USR-004,2025-07-13,3180.7,0.0149,0.0257,0.947,1,USR-004_2025-07-13,text-embedding-3-large,3072
USR-004,2025-07-20,3335.6,0.0133,0.0247,0.963,2,USR-004_2025-07-20,text-embedding-3-large,3072
USR-004,2025-07-27,2940.9,0.0149,0.0305,0.962,0,USR-004_2025-07-27,text-embedding-3-large,3072
USR-004,2025-08-03,2712.0,0.0164,0.0271,0.961,0,USR-004_2025-08-03,text-embedding-3-large,3072
USR-004,2025-08-10,2950.0,0.016,0.044,0.938,1,USR-004_2025-08-10,text-embedding-3-large,3072
USR-004,2025-08-17,3135.8,0.019,0.0308,0.944,3,USR-004_2025-08-17,text-embedding-3-large,3072
USR-004,2025-08-24,3088.0,0.0164,0.0381,0.925,1,USR-004_2025-08-24,text-embedding-3-large,3072
USR-004,2025-08-31,2985.2,0.0162,0.0379,0.933,1,USR-004_2025-08-31,text-embedding-3-large,3072
USR-004,2025-09-07,2853.8,0.0157,0.0208,0.96,0,USR-004_2025-09-07,text-embedding-3-large,3072
USR-004,2025-09-14,3158.1,0.0192,0.0332,0.978,0,USR-004_2025-09-14,text-embedding-3-large,3072
USR-004,2025-09-21,3057.3,0.0168,0.0335,0.961,3,USR-004_2025-09-21,text-embedding-3-large,3072
USR-004,2025-09-28,2894.2,0.0143,0.0247,0.937,0,USR-004_2025-09-28,text-embedding-3-large,3072
USR-004,2025-10-05,3267.3,0.0191,0.0361,0.864,0,USR-004_2025-10-05,text-embedding-3-large,3072
USR-004,2025-10-12,3067.3,0.0131,0.0261,0.924,0,USR-004_2025-10-12,text-embedding-3-large,3072
USR-004,2025-10-19,3207.1,0.0155,0.0389,0.99,1,USR-004_2025-10-19,text-embedding-3-large,3072
USR-004,2025-10-26,3181.5,0.0168,0.0298,0.938,3,USR-004_2025-10-26,text-embedding-3-large,3072
USR-004,2025-11-02,2871.1,0.0124,0.0313,0.935,3,USR-004_2025-11-02,text-embedding-3-large,3072
USR-004,2025-11-09,2983.7,0.0181,0.0245,0.988,0,USR-004_2025-11-09,text-embedding-3-large,3072
USR-004,2025-11-16,3396.7,0.0169,0.0306,0.915,3,USR-004_2025-11-16,text-embedding-3-large,3072
USR-004,2025-11-23,2959.7,0.0156,0.0312,0.916,1,USR-004_2025-11-23,text-embedding-3-large,3072
USR-004,2025-11-30,2955.4,0.0151,0.0351,0.987,0,USR-004_2025-11-30,text-embedding-3-large,3072
USR-004,2025-12-07,3102.7,0.0167,0.0302,0.947,1,USR-004_2025-12-07,text-embedding-3-large,3072
USR-004,2025-12-14,2793.9,0.0148,0.027,0.958,1,USR-004_2025-12-14,text-embedding-3-large,3072
USR-004,2025-12-21,2819.4,0.0136,0.0222,0.939,1,USR-004_2025-12-21,text-embedding-3-large,3072
USR-004,2025-12-28,2952.9,0.0163,0.0299,0.957,0,USR-004_2025-12-28,text-embedding-3-large,3072
USR-004,2026-01-04,2971.6,0.0157,0.0361,0.942,0,USR-004_2026-01-04,text-embedding-3-large,3072
USR-004,2026-01-11,2993.2,0.018,0.0304,0.909,1,USR-004_2026-01-11,text-embedding-3-large,3072
USR-004,2026-01-18,2873.9,0.016,0.0238,0.949,2,USR-004_2026-01-18,text-embedding-3-large,3072
USR-004,2026-01-25,3160.0,0.0211,0.0369,0.966,1,USR-004_2026-01-25,text-embedding-3-large,3072
USR-004,2026-02-01,3348.2,0.0155,0.0307,0.927,2,USR-004_2026-02-01,text-embedding-3-large,3072
USR-004,2026-02-08,3119.4,0.0169,0.0356,0.961,0,USR-004_2026-02-08,text-embedding-3-large,3072
USR-004,2026-02-15,3286.3,0.0145,0.0304,0.956,2,USR-004_2026-02-15,text-embedding-3-large,3072
USR-004,2026-02-22,2796.9,0.0148,0.0363,0.883,1,USR-004_2026-02-22,text-embedding-3-large,3072
USR-004,2026-03-01,3200.7,0.0165,0.0298,0.958,0,USR-004_2026-03-01,text-embedding-3-large,3072
USR-004,2026-03-08,3316.3,0.0153,0.0274,0.975,0,USR-004_2026-03-08,text-embedding-3-large,3072
USR-004,2026-03-15,3097.5,0.0171,0.0309,0.9,1,USR-004_2026-03-15,text-embedding-3-large,3072
USR-004,2026-03-22,3162.2,0.0162,0.0376,0.927,1,USR-004_2026-03-22,text-embedding-3-large,3072
USR-004,2026-03-29,2879.1,0.0144,0.0301,0.922,2,USR-004_2026-03-29,text-embedding-3-large,3072
USR-004,2026-04-05,3075.8,0.0179,0.0291,0.951,0,USR-004_2026-04-05,text-embedding-3-large,3072
USR-004,2026-04-12,2906.6,0.0175,0.0419,0.937,1,USR-004_2026-04-12,text-embedding-3-large,3072
USR-004,2026-04-19,3032.9,0.0153,0.0359,0.962,2,USR-004_2026-04-19,text-embedding-3-large,3072
USR-004,2026-04-26,3421.5,0.0135,0.0319,0.961,1,USR-004_2026-04-26,text-embedding-3-large,3072
USR-004,2026-05-03,3255.4,0.0191,0.0335,0.965,2,USR-004_2026-05-03,text-embedding-3-large,3072
USR-004,2026-05-10,3015.5,0.0145,0.0353,0.859,1,USR-004_2026-05-10,text-embedding-3-large,3072
USR-004,2026-05-17,3092.6,0.015,0.0434,0.952,0,USR-004_2026-05-17,text-embedding-3-large,3072
USR-004,2026-05-24,3283.6,0.0176,0.0265,0.941,2,USR-004_2026-05-24,text-embedding-3-large,3072
USR-004,2026-05-31,2997.4,0.0193,0.0239,0.931,0,USR-004_2026-05-31,text-embedding-3-large,3072
USR-004,2026-06-07,3217.6,0.0169,0.0299,0.91,1,USR-004_2026-06-07,text-embedding-3-large,3072
USR-004,2026-06-14,3337.8,0.0154,0.026,0.978,3,USR-004_2026-06-14,text-embedding-3-large,3072
USR-004,2026-06-21,3261.4,0.015,0.0304,0.934,0,USR-004_2026-06-21,text-embedding-3-large,3072
USR-005,2025-06-29,972.3,0.0245,0.0626,0.942,2,USR-005_2025-06-29,text-embedding-3-large,3072
USR-005,2025-07-06,993.9,0.0217,0.0586,0.943,1,USR-005_2025-07-06,text-embedding-3-large,3072
USR-005,2025-07-13,927.7,0.019,0.07,0.906,1,USR-005_2025-07-13,text-embedding-3-large,3072
USR-005,2025-07-20,867.2,0.0216,0.0794,0.988,0,USR-005_2025-07-20,text-embedding-3-large,3072
USR-005,2025-07-27,1013.0,0.0232,0.0692,0.897,1,USR-005_2025-07-27,text-embedding-3-large,3072
USR-005,2025-08-03,954.2,0.0264,0.0682,0.952,0,USR-005_2025-08-03,text-embedding-3-large,3072
USR-005,2025-08-10,981.3,0.0229,0.0452,0.968,0,USR-005_2025-08-10,text-embedding-3-large,3072
USR-005,2025-08-17,895.7,0.0246,0.0679,0.947,3,USR-005_2025-08-17,text-embedding-3-large,3072
USR-005,2025-08-24,899.6,0.0244,0.0644,0.947,4,USR-005_2025-08-24,text-embedding-3-large,3072
USR-005,2025-08-31,970.1,0.0244,0.0503,0.952,0,USR-005_2025-08-31,text-embedding-3-large,3072
USR-005,2025-09-07,989.5,0.0243,0.0643,0.926,2,USR-005_2025-09-07,text-embedding-3-large,3072
USR-005,2025-09-14,1017.0,0.0255,0.0648,0.95,0,USR-005_2025-09-14,text-embedding-3-large,3072
USR-005,2025-09-21,923.1,0.0247,0.0535,0.917,1,USR-005_2025-09-21,text-embedding-3-large,3072
USR-005,2025-09-28,977.5,0.0258,0.0734,0.948,1,USR-005_2025-09-28,text-embedding-3-large,3072
USR-005,2025-10-05,1010.8,0.0275,0.0594,0.959,0,USR-005_2025-10-05,text-embedding-3-large,3072
USR-005,2025-10-12,924.7,0.0205,0.0637,0.907,1,USR-005_2025-10-12,text-embedding-3-large,3072
USR-005,2025-10-19,903.8,0.0198,0.0684,0.956,0,USR-005_2025-10-19,text-embedding-3-large,3072
USR-005,2025-10-26,980.5,0.0277,0.0643,0.903,3,USR-005_2025-10-26,text-embedding-3-large,3072
USR-005,2025-11-02,985.1,0.018,0.0594,0.891,1,USR-005_2025-11-02,text-embedding-3-large,3072
USR-005,2025-11-09,885.0,0.0205,0.054,0.927,2,USR-005_2025-11-09,text-embedding-3-large,3072
USR-005,2025-11-16,876.4,0.0241,0.0516,0.935,2,USR-005_2025-11-16,text-embedding-3-large,3072
USR-005,2025-11-23,935.3,0.0235,0.0709,0.977,1,USR-005_2025-11-23,text-embedding-3-large,3072
USR-005,2025-11-30,1035.6,0.0218,0.0676,0.926,0,USR-005_2025-11-30,text-embedding-3-large,3072
USR-005,2025-12-07,852.8,0.027,0.0433,0.884,0,USR-005_2025-12-07,text-embedding-3-large,3072
USR-005,2025-12-14,1024.7,0.0234,0.0672,0.978,0,USR-005_2025-12-14,text-embedding-3-large,3072
USR-005,2025-12-21,1058.0,0.0275,0.0557,0.909,0,USR-005_2025-12-21,text-embedding-3-large,3072
USR-005,2025-12-28,962.6,0.0289,0.0776,0.894,1,USR-005_2025-12-28,text-embedding-3-large,3072
USR-005,2026-01-04,876.6,0.0206,0.0736,0.91,3,USR-005_2026-01-04,text-embedding-3-large,3072
USR-005,2026-01-11,931.6,0.0249,0.0581,0.99,2,USR-005_2026-01-11,text-embedding-3-large,3072
USR-005,2026-01-18,1002.8,0.0226,0.0767,0.98,0,USR-005_2026-01-18,text-embedding-3-large,3072
USR-005,2026-01-25,1036.3,0.0213,0.0575,0.979,0,USR-005_2026-01-25,text-embedding-3-large,3072
USR-005,2026-02-01,1026.6,0.0271,0.0681,0.951,1,USR-005_2026-02-01,text-embedding-3-large,3072
